x,y,z,value
0.00,0.0,0.2,-21.6
0.25,0.0,0.2,-21.0
0.50,0.0,0.2,-27.7
0.80,0.0,0.2,-152.0
0.00,0.0,0.4,-21.0
0.25,0.0,0.4,-22.8
0.50,0.0,0.4,-43.3
0.80,0.0,0.4,-88.2
0.00,0.0,0.6,-23.4
0.25,0.0,0.6,-21.3
0.50,0.0,0.6,-21.6
0.80,0.0,0.6,-74.2
