timestamp,wind_speed
1641002400,1.6
1641006000,1.5
1641009600,1.4
1641013200,1.4
1641016800,1.3
1641020400,1.2
1641024000,1.1
1641027600,1.2
1641031200,1.2
1641034800,1.3
1641038400,1.4
1641042000,1.4
1641045600,1.5
1641049200,1.4
1641052800,1.4
1641056400,1.4
1641060000,1.3
1641063600,1.2
1641067200,1.2
1641070800,1.1
1641074400,1.1
1641078000,1.1
1641081600,1.0
1641085200,1.0
1641088800,0.9
1641092400,0.9
1641096000,0.8
1641099600,0.8
1641103200,0.8
1641106800,0.7
1641110400,0.7
1641114000,0.7
1641117600,0.8
1641121200,0.8
1641124800,0.8
1641128400,0.9
1641132000,0.9
1641135600,0.9
1641139200,0.9
1641142800,0.9
1641146400,0.9
1641150000,0.9
1641153600,0.9
1641157200,0.9
1641160800,0.9
1641164400,1.0
1641168000,1.0
1641171600,1.0
1641175200,1.0
1641178800,1.0
1641182400,1.0
1641186000,1.1
1641189600,1.1
1641193200,1.1
1641196800,1.1
1641200400,1.2
1641204000,1.2
1641207600,1.3
1641211200,1.4
1641214800,1.4
1641218400,1.5
1641222000,1.5
1641225600,1.4
1641229200,1.4
1641232800,1.4
1641236400,1.3
1641240000,1.3
1641243600,1.4
1641247200,1.4
1641250800,1.4
1641254400,1.5
1641258000,1.6
1641261600,1.6
1641265200,1.6
1641268800,1.5
1641272400,1.4
1641276000,1.4
1641279600,1.4
1641283200,1.3
1641286800,1.3
1641290400,1.3
1641294000,1.3
1641297600,1.3
1641301200,1.3
1641304800,1.3
1641308400,1.3
1641312000,1.4
1641315600,1.4
1641319200,1.4
1641322800,1.5
1641326400,1.5
1641330000,1.4
1641333600,1.2
1641337200,1.1
1641340800,0.9
1641344400,0.8
1641348000,0.6
1641351600,0.7
1641355200,0.8
1641358800,0.8
1641362400,0.9
1641366000,1.0
1641369600,1.1
1641373200,1.2
1641376800,1.3
1641380400,1.4
1641384000,1.4
1641387600,1.5
1641391200,1.6
1641394800,1.7
1641398400,1.8
1641402000,1.9
1641405600,2.0
1641409200,2.1
1641412800,2.2
1641416400,2.1
1641420000,2.0
1641423600,1.8
1641427200,1.7
1641430800,1.6
1641434400,1.5
1641438000,1.5
1641441600,1.5
1641445200,1.6
1641448800,1.6
1641452400,1.6
1641456000,1.6
1641459600,1.5
1641463200,1.4
1641466800,1.3
1641470400,1.2
1641474000,1.1
1641477600,1.0
1641481200,1.1
1641484800,1.2
1641488400,1.3
1641492000,1.4
1641495600,1.5
1641499200,1.6
1641502800,1.6
1641506400,1.6
1641510000,1.6
1641513600,1.5
1641517200,1.5
1641520800,1.5
1641524400,1.6
1641528000,1.7
1641531600,1.8
1641535200,1.8
1641538800,1.9
1641542400,2.0
1641546000,1.9
1641549600,1.8
1641553200,1.7
1641556800,1.6
1641560400,1.5
1641564000,1.4
1641567600,1.5
1641571200,1.6
1641574800,1.7
1641578400,1.8
1641582000,1.9
1641585600,2.0
1641589200,2.0
1641592800,1.9
1641596400,1.8
1641600000,1.8
1641603600,1.8
1641607200,1.7
1641610800,1.4
1641614400,0.8
1641618000,1.7
1641621600,1.0
1641625200,1.6
1641628800,1.3
1641632400,1.5
1641636000,1.9
1641639600,1.7
1641643200,1.3
1641646800,0.7
1641650400,1.6
1641654000,0.9
1641657600,1.5
1641661200,1.3
1641664800,1.7
1641668400,1.8
1641672000,1.7
1641675600,1.6
1641679200,1.2
1641682800,1.7
1641686400,1.5
1641690000,1.7
1641693600,2.3
1641697200,1.4
1641700800,2.2
1641704400,1.3
1641708000,2.3
1641711600,1.3
1641715200,1.0
1641718800,1.0
1641722400,1.7
1641726000,5.6
1641729600,4.0
1641733200,4.0
1641736800,4.6
1641740400,4.5
1641744000,4.0
1641747600,3.8
1641751200,3.7
1641754800,3.7
1641758400,3.6
1641762000,3.0
1641765600,2.4
1641769200,3.2
1641772800,3.3
1641776400,3.8
1641780000,2.8
1641783600,3.7
1641787200,4.3
1641790800,4.3
1641794400,3.3
1641798000,3.4
1641801600,4.2
1641805200,4.5
1641808800,4.6
1641812400,4.2
1641816000,4.8
1641819600,5.2
1641823200,5.0
1641826800,4.6
1641830400,5.1
1641834000,4.7
1641837600,4.5
1641841200,4.0
1641844800,4.3
1641848400,3.9
1641852000,3.8
1641855600,3.4
1641859200,3.9
1641862800,3.9
1641866400,3.5
1641870000,2.2
1641873600,2.4
1641877200,3.1
1641880800,2.7
1641884400,3.7
1641888000,3.5
1641891600,3.1
1641895200,3.3
1641898800,3.5
1641902400,4.0
1641906000,4.3
1641909600,3.8
1641913200,3.5
1641916800,3.2
1641920400,2.8
1641924000,2.6
1641927600,1.9
1641931200,1.6
1641934800,2.3
1641938400,3.6
1641942000,2.8
1641945600,1.4
1641949200,2.1
1641952800,3.6
1641956400,3.6
1641960000,3.9
1641963600,3.8
1641967200,2.1
1641970800,2.5
1641974400,3.0
1641978000,3.3
1641981600,3.4
1641985200,3.9
1641988800,4.0
1641992400,4.3
1641996000,4.0
1641999600,3.8
1642003200,3.7
1642006800,3.1
1642010400,2.6
1642014000,2.5
1642017600,2.6
1642021200,2.4
1642024800,2.5
1642028400,2.8
1642032000,2.7
1642035600,3.0
1642039200,1.5
1642042800,2.1
1642046400,2.3
1642050000,2.5
1642053600,2.3
1642057200,2.0
1642060800,2.6
1642064400,2.5
1642068000,2.5
1642071600,2.6
1642075200,2.4
1642078800,2.8
1642082400,2.6
1642086000,2.5
1642089600,2.3
1642093200,2.4
1642096800,2.1
1642100400,2.2
1642104000,1.9
1642107600,2.0
1642111200,2.0
1642114800,1.7
1642118400,1.3
1642122000,1.3
1642125600,1.4
1642129200,1.1
1642132800,2.2
1642136400,2.0
1642140000,1.9
1642143600,1.4
1642147200,1.9
1642150800,2.2
1642154400,2.2
1642158000,1.6
1642161600,1.1
1642165200,0.6
1642168800,0.7
1642172400,0.9
1642176000,0.7
1642179600,0.3
1642183200,0.4
1642186800,1.3
1642190400,1.0
1642194000,1.0
1642197600,0.6
1642201200,1.0
1642204800,1.2
1642208400,1.5
1642212000,1.3
1642215600,1.4
1642219200,0.9
1642222800,1.9
1642226400,1.2
1642230000,1.2
1642233600,0.6
1642237200,0.9
1642240800,0.3
1642244400,1.2
1642248000,0.7
1642251600,0.7
1642255200,1.3
1642258800,1.3
1642262400,1.2
1642266000,0.9
1642269600,0.9
1642273200,0.6
1642276800,1.2
1642280400,1.1
1642284000,1.4
1642287600,1.5
1642291200,1.6
1642294800,1.5
1642298400,1.3
1642302000,1.5
1642305600,1.1
1642309200,1.1
1642312800,1.1
1642316400,1.1
1642320000,1.3
1642323600,0.9
1642327200,0.8
1642330800,1.0
1642334400,1.2
1642338000,0.7
1642341600,0.4
1642345200,0.3
1642348800,0.4
1642352400,0.2
1642356000,1.0
1642359600,2.0
1642363200,1.8
1642366800,1.8
1642370400,1.8
1642374000,1.9
1642377600,1.6
1642381200,1.5
1642384800,1.8
1642388400,1.3
1642392000,1.4
1642395600,2.0
1642399200,1.9
1642402800,1.6
1642406400,2.3
1642410000,1.9
1642413600,1.1
1642417200,0.6
1642420800,0.9
1642424400,0.6
1642428000,1.0
1642431600,1.0
1642435200,1.0
1642438800,0.9
1642442400,1.8
1642446000,1.5
1642449600,1.3
1642453200,1.2
1642456800,1.2
1642460400,1.4
1642464000,1.2
1642467600,0.7
1642471200,1.3
1642474800,1.2
1642478400,1.9
1642482000,1.0
1642485600,1.3
1642489200,0.3
1642492800,1.4
1642496400,1.6
1642500000,0.9
1642503600,1.2
1642507200,1.6
1642510800,1.2
1642514400,1.6
1642518000,1.8
1642521600,1.5
1642525200,1.0
1642528800,0.6
1642532400,0.6
1642536000,0.6
1642539600,1.5
1642543200,1.6
1642546800,1.6
1642550400,1.4
1642554000,1.4
1642557600,1.6
1642561200,1.4
1642564800,0.5
1642568400,1.0
1642572000,0.4
1642575600,1.2
1642579200,1.2
1642582800,1.1
1642586400,0.5
1642590000,0.4
1642593600,0.9
1642597200,0.6
1642600800,1.3
1642604400,1.5
1642608000,0.8
1642611600,0.4
1642615200,0.3
1642618800,0.7
1642622400,1.3
1642626000,1.4
1642629600,1.3
1642633200,1.6
1642636800,1.5
1642640400,1.2
1642644000,1.4
1642647600,0.7
1642651200,1.3
1642654800,1.4
1642658400,1.5
1642662000,0.8
1642665600,1.1
1642669200,1.9
1642672800,3.2
1642676400,2.0
1642680000,2.4
1642683600,2.5
1642687200,2.3
1642690800,3.2
1642694400,2.4
1642698000,1.9
1642701600,0.5
1642705200,0.4
1642708800,0.6
1642712400,1.0
1642716000,1.2
1642719600,0.9
1642723200,0.4
1642726800,0.6
1642730400,0.9
1642734000,1.0
1642737600,0.6
1642741200,0.9
1642744800,1.5
1642748400,0.9
1642752000,1.0
1642755600,2.0
1642759200,2.3
1642762800,1.6
1642766400,2.3
1642770000,3.3
1642773600,3.4
1642777200,3.2
1642780800,2.6
1642784400,2.4
1642788000,1.8
1642791600,1.9
1642795200,1.8
1642798800,2.1
1642802400,2.2
1642806000,2.2
1642809600,1.9
1642813200,1.9
1642816800,1.4
1642820400,1.4
1642824000,1.3
1642827600,1.3
1642831200,1.3
1642834800,1.2
1642838400,1.2
1642842000,1.4
1642845600,1.5
1642849200,1.7
1642852800,1.9
1642856400,2.0
1642860000,2.2
1642863600,2.2
1642867200,2.2
1642870800,2.2
1642874400,2.3
1642878000,2.3
1642881600,2.3
1642885200,2.1
1642888800,1.9
1642892400,1.8
1642896000,1.6
1642899600,1.4
1642903200,0.9
1642906800,1.4
1642910400,0.6
1642914000,0.4
1642917600,1.5
1642921200,0.7
1642924800,0.4
1642928400,1.1
1642932000,0.8
1642935600,1.0
1642939200,1.1
1642942800,1.6
1642946400,1.6
1642950000,1.4
1642953600,1.1
1642957200,0.7
1642960800,1.0
1642964400,1.2
1642968000,1.4
1642971600,1.3
1642975200,1.3
1642978800,1.5
1642982400,1.4
1642986000,1.3
1642989600,0.9
1642993200,1.1
1642996800,0.7
1643000400,0.4
1643004000,0.4
1643007600,0.5
1643011200,1.1
1643014800,1.2
1643018400,0.6
1643022000,0.6
1643025600,0.6
1643029200,0.5
1643032800,0.7
1643036400,0.7
1643040000,1.1
1643043600,0.8
1643047200,0.7
1643050800,0.8
1643054400,0.6
1643058000,0.6
1643061600,0.8
1643065200,1.1
1643068800,1.2
1643072400,1.6
1643076000,1.0
1643079600,1.0
1643083200,1.3
1643086800,1.3
1643090400,1.9
1643094000,1.8
1643097600,1.7
1643101200,2.0
1643104800,2.3
1643108400,2.4
1643112000,2.3
1643115600,2.2
1643119200,2.2
1643122800,2.2
1643126400,2.0
1643130000,1.3
1643133600,1.1
1643137200,0.9
1643140800,0.6
1643144400,0.7
1643148000,0.6
1643151600,0.2
1643155200,0.3
1643158800,0.5
1643162400,1.4
1643166000,0.9
1643169600,0.5
1643173200,1.0
1643176800,0.7
1643180400,0.6
1643184000,0.2
1643187600,0.2
1643191200,0.3
1643194800,1.2
1643198400,0.7
1643202000,0.6
1643205600,0.6
1643209200,0.4
1643212800,0.4
1643216400,0.4
1643220000,0.3
1643223600,0.3
1643227200,0.7
1643230800,0.9
1643234400,0.6
1643238000,1.0
1643241600,0.5
1643245200,1.0
1643248800,1.0
1643252400,0.8
1643256000,1.0
1643259600,0.9
1643263200,0.6
1643266800,1.3
1643270400,1.3
1643274000,0.8
1643277600,0.8
1643281200,1.1
1643284800,1.4
1643288400,1.2
1643292000,0.7
1643295600,1.0
1643299200,0.7
1643302800,0.8
1643306400,1.0
1643310000,1.3
1643313600,0.9
1643317200,0.5
1643320800,0.9
1643324400,1.5
1643328000,1.8
1643331600,2.0
1643335200,0.9
1643338800,0.6
1643342400,1.0
1643346000,1.1
1643349600,1.2
1643353200,1.7
1643356800,1.6
1643360400,0.5
1643364000,0.5
1643367600,0.9
1643371200,0.7
1643374800,1.0
1643378400,1.5
1643382000,2.2
1643385600,1.4
1643389200,1.3
1643392800,1.4
1643396400,1.1
1643400000,0.6
1643403600,0.6
1643407200,1.0
1643410800,1.0
1643414400,1.5
1643418000,1.3
1643421600,1.4
1643425200,1.7
1643428800,0.4
1643432400,1.9
1643436000,1.2
1643439600,1.2
1643443200,1.2
1643446800,1.7
1643450400,1.9
1643454000,1.6
1643457600,1.0
1643461200,1.0
1643464800,1.6
1643468400,1.1
1643472000,1.0
1643475600,0.7
1643479200,1.1
1643482800,1.2
1643486400,1.6
1643490000,1.9
1643493600,2.2
1643497200,2.3
1643500800,2.2
1643504400,2.4
1643508000,2.2
1643511600,1.7
1643515200,2.1
1643518800,1.7
1643522400,1.1
1643526000,1.5
1643529600,0.6
1643533200,0.6
1643536800,0.3
1643540400,1.0
1643544000,0.9
1643547600,0.8
1643551200,1.4
1643554800,0.9
1643558400,0.7
1643562000,0.9
1643565600,1.5
1643569200,1.5
1643572800,0.7
1643576400,0.8
1643580000,1.0
1643583600,1.1
1643587200,1.2
1643590800,1.1
1643594400,1.2
1643598000,0.8
1643601600,0.5
1643605200,0.7
1643608800,1.1
1643612400,1.2
1643616000,1.0
1643619600,0.8
1643623200,1.0
1643626800,1.5
1643630400,2.5
1643634000,2.5
1643637600,4.0
1643641200,3.0
1643644800,3.2
1643648400,2.7
1643652000,3.0
1643655600,3.7
1643659200,3.9
1643662800,5.2
1643666400,5.5
1643670000,5.6
1643673600,5.7
1643677200,6.6
1643680800,4.3
1643684400,5.2
