"start","end","temperature"
1596042000,1596045600,30.46
1596045600,1596049200,28.95
1596049200,1596052800,26.31
1596052800,1596056400,24.44
1596056400,1596060000,23.395
1596060000,1596063600,22.38
1596063600,1596067200,21.48
1596067200,1596070800,21.295
1596070800,1596074400,20.6
1596074400,1596078000,20.15
1596078000,1596081600,20.155
1596081600,1596085200,19.785
1596085200,1596088800,21.695
1596088800,1596092400,25.74
1596092400,1596096000,27.57
1596096000,1596099600,28.91
1596099600,1596103200,30.4
1596103200,1596106800,31.31
1596106800,1596110400,32.27
1596110400,1596114000,33.015
1596114000,1596117600,33.445
1596117600,1596121200,33.84
1596121200,1596124800,33.745
1596124800,1596128400,32.48
1596128400,1596132000,31.42
1596132000,1596135600,29.675
1596135600,1596139200,27.05
1596139200,1596142800,25.13
1596142800,1596146400,23.705
1596146400,1596150000,23.255
1596150000,1596153600,22.725
1596153600,1596157200,22.655
1596157200,1596160800,22.365
1596160800,1596164400,22.19
1596164400,1596168000,22.18
1596168000,1596171600,22.075
1596171600,1596175200,23.225
1596175200,1596178800,25.805
1596178800,1596182400,29.455
1596182400,1596186000,30.99
1596186000,1596189600,32.125
1596189600,1596193200,33.345
1596193200,1596196800,33.785
1596196800,1596200400,34.4
1596200400,1596204000,34.095
1596204000,1596207600,32.34
1596207600,1596211200,30.365
1596211200,1596214800,29.755
1596214800,1596218400,29.04
1596218400,1596222000,27.455
1596222000,1596225600,23.92
1596225600,1596229200,21.955
1596229200,1596232800,21.125
1596232800,1596236400,21.215
1596236400,1596240000,21.63
1596240000,1596243600,21.38
1596243600,1596247200,20.33
1596247200,1596250800,20.645
1596250800,1596254400,20.17
1596254400,1596258000,20.555
1596258000,1596261600,22.09
1596261600,1596265200,25.24
1596265200,1596268800,28.83
1596268800,1596272400,30.915
1596272400,1596276000,31.935
1596276000,1596279600,32.615
1596279600,1596283200,33.55
1596283200,1596286800,34.365
1596286800,1596290400,34.485
1596290400,1596294000,34.795
1596294000,1596297600,34.4
1596297600,1596301200,33.355
1596301200,1596304800,32.075
1596304800,1596308400,30.485
1596308400,1596312000,27.57
1596312000,1596315600,25.805
1596315600,1596319200,24.585
1596319200,1596322800,23.875
1596322800,1596326400,23.775
1596326400,1596330000,23.625
1596330000,1596333600,24.38
1596333600,1596337200,24.055
1596337200,1596340800,23.33
1596340800,1596344400,22.135
1596344400,1596348000,22.285
1596348000,1596351600,23.56
1596351600,1596355200,26.745
1596355200,1596358800,27.605
1596358800,1596362400,28.13
1596362400,1596366000,28.645
1596366000,1596369600,29.11
1596369600,1596373200,29.87
1596373200,1596376800,30.12
1596376800,1596380400,30.135
1596380400,1596384000,29.625
1596384000,1596387600,28.425
1596387600,1596391200,27.895
1596391200,1596394800,27.055
1596394800,1596398400,25.36
1596398400,1596402000,24.37
1596402000,1596405600,23.31
1596405600,1596409200,22.58
1596409200,1596412800,22.225
1596412800,1596416400,21.395
1596416400,1596420000,21.625
1596420000,1596423600,22.47
1596423600,1596427200,22.075
1596427200,1596430800,21.49
1596430800,1596434400,21.59
1596434400,1596438000,22.71
1596438000,1596441600,24.125
1596441600,1596445200,25.35
1596445200,1596448800,25.98
1596448800,1596452400,25.635
1596452400,1596456000,26.13
1596456000,1596459600,26.39
1596459600,1596463200,26.725
1596463200,1596466800,22.71
1596466800,1596470400,24.375
1596470400,1596474000,25.525
1596474000,1596477600,23.91
1596477600,1596481200,23.485
1596481200,1596484800,21.49
1596484800,1596488400,20.845
1596488400,1596492000,20.5
1596492000,1596495600,19.19
1596495600,1596499200,18.235
1596499200,1596502800,18.01
1596502800,1596506400,18.285
1596506400,1596510000,17.845
1596510000,1596513600,16.56
1596513600,1596517200,15.935
1596517200,1596520800,17.48
1596520800,1596524400,19.665
1596524400,1596528000,21.445
1596528000,1596531600,19.065
1596531600,1596535200,17.25
1596535200,1596538800,16.75
1596538800,1596542400,17.225
1596542400,1596546000,18.36
1596546000,1596549600,21.07
1596549600,1596553200,22.685
1596553200,1596556800,22.71
1596556800,1596560400,22.725
1596560400,1596564000,21.31
1596564000,1596567600,19.545
1596567600,1596571200,18.71
1596571200,1596574800,18.235
1596574800,1596578400,18.24
1596578400,1596582000,18.405
1596582000,1596585600,17.69
1596585600,1596589200,17.31
1596589200,1596592800,17.38
1596592800,1596596400,17.46
1596596400,1596600000,17.465
1596600000,1596603600,17.42
1596603600,1596607200,17.86
1596607200,1596610800,18.44
1596610800,1596614400,19.44
1596614400,1596618000,20.505
1596618000,1596621600,22.535
1596621600,1596625200,23.24
1596625200,1596628800,24.16
1596628800,1596632400,24.425
1596632400,1596636000,24.39
1596636000,1596639600,24.28
1596639600,1596643200,23.78
1596643200,1596646800,23.695
1596646800,1596650400,23.4
1596650400,1596654000,22.86
1596654000,1596657600,19.705
1596657600,1596661200,18.305
1596661200,1596664800,18.105
1596664800,1596668400,17.57
1596668400,1596672000,17.46
1596672000,1596675600,17.515
1596675600,1596679200,17.45
1596679200,1596682800,17.365
1596682800,1596686400,18.525
1596686400,1596690000,19.78
1596690000,1596693600,19.975
1596693600,1596697200,20.225
1596697200,1596700800,21.625
1596700800,1596704400,22.915
1596704400,1596708000,24.4
