mean_obs,mean_1gg,mean_3gg,mean_7gg
0.17104999999999995,0.19575833333333334,0.20040833333333333,0.18965833333333335
0.17105,0.19510833333333333,0.20028333333333334,0.19006666666666663
0.17113333333333336,0.19460833333333336,0.200175,0.1901833333333333
0.17123333333333335,0.194125,0.2001166666666667,0.19024166666666667
0.17142499999999997,0.19353333333333333,0.2000166666666666,0.19025
0.17133333333333334,0.19295000000000004,0.1989,0.19034166666666671
0.17143333333333333,0.192225,0.19726666666666667,0.1902666666666666
0.171625,0.19178333333333333,0.19504166666666667,0.1900166666666667
0.17134166666666664,0.1909,0.19400833333333334,0.18935000000000002
0.17102499999999998,0.1899666666666667,0.19319166666666668,0.1888
0.170825,0.1888,0.19233333333333327,0.18786666666666665
0.17037499999999997,0.187825,0.19177500000000003,0.18708333333333335
0.1725,0.1894583333333333,0.19375833333333337,0.18931666666666666
0.17189166666666666,0.19094166666666668,0.19554999999999997,0.19096666666666665
0.17105833333333334,0.19145833333333337,0.19629166666666664,0.19129166666666667
0.17052500000000004,0.19162499999999996,0.19705833333333334,0.19146666666666667
0.17005,0.19150833333333336,0.19743333333333335,0.1913583333333333
0.169675,0.19155833333333339,0.19776666666666667,0.1919166666666667
0.16924999999999998,0.19169999999999998,0.1983,0.19255
0.16888333333333336,0.19175833333333336,0.198875,0.19313333333333335
0.16886666666666664,0.19150833333333336,0.1986416666666667,0.19345833333333332
0.16889999999999997,0.19090833333333335,0.19813333333333336,0.19355
0.16884999999999997,0.19035,0.19751666666666667,0.19320833333333334
0.16893333333333335,0.18960833333333338,0.19660833333333336,0.19294999999999998
0.16896666666666663,0.18893333333333331,0.19567500000000002,0.19269999999999998
0.1689333333333333,0.188225,0.19496666666666665,0.19242499999999998
0.16903333333333334,0.18762500000000004,0.194375,0.19216666666666662
0.16908333333333334,0.18705000000000002,0.19365833333333335,0.19199166666666667
0.16931666666666667,0.186625,0.19315833333333332,0.19146666666666667
0.16928333333333334,0.18599166666666664,0.19261666666666666,0.19117499999999996
0.16942499999999996,0.185325,0.19174999999999998,0.19056666666666666
0.16928333333333334,0.18464166666666668,0.1910583333333333,0.1898
0.16889999999999997,0.18379166666666666,0.19030833333333338,0.18898333333333336
0.16858333333333334,0.18257500000000004,0.18917499999999998,0.18764166666666668
0.16815833333333333,0.18142499999999998,0.18809166666666668,0.18637500000000004
0.1675,0.1803916666666667,0.18706666666666663,0.18546666666666667
0.16840833333333335,0.18415,0.18900000000000003,0.18863333333333335
