budget,1gg,std_1gg,3gg,std_3gg,7gg,std_7gg
25.0,0.37,0.13,0.6,0.22,0.77,0.24
50.0,0.39,0.13,0.61,0.22,0.74,0.24
75.0,0.39,0.14,0.61,0.22,0.74,0.24
100.0,0.39,0.13,0.61,0.22,0.74,0.24
