x,y,z,value
0.00,0.0,0.2,-21.3
0.25,0.0,0.2,-20.8
0.50,0.0,0.2,-27.1
0.80,0.0,0.2,-131.1
0.00,0.0,0.4,-21.0
0.25,0.0,0.4,-22.5
0.50,0.0,0.4,-38.7
0.80,0.0,0.4,-74.9
0.00,0.0,0.6,-23.4
0.25,0.0,0.6,-21.3
0.50,0.0,0.6,-21.6
0.80,0.0,0.6,-58.7
