x,y,z,value
0.00,0.0,0.2,-24.3
0.25,0.0,0.2,-20.8
0.50,0.0,0.2,-42.3
0.80,0.0,0.2,-1218.5
0.00,0.0,0.4,-21.6
0.25,0.0,0.4,-39.0
0.50,0.0,0.4,-183.9
0.80,0.0,0.4,-299.8
0.00,0.0,0.6,-23.1
0.25,0.0,0.6,-122.1
0.50,0.0,0.6,-387.2
0.80,0.0,0.6,-359.4
