"start","end","radiations"
1589666400,1589670000,0
1589670000,1589673600,0
1589673600,1589677200,0
1589677200,1589680800,0
1589680800,1589684400,0
1589684400,1589688000,0
1589688000,1589691600,11.2
1589691600,1589695200,53.62
1589695200,1589698800,193.62
1589698800,1589702400,349.3
1589702400,1589706000,517.86
1589706000,1589709600,694.68
1589709600,1589713200,767.48
1589713200,1589716800,542.22
1589716800,1589720400,349.58
1589720400,1589724000,577.22
1589724000,1589727600,391.44
1589727600,1589731200,470.82
1589731200,1589734800,224.7
1589734800,1589738400,92.68
1589738400,1589742000,21.42
1589742000,1589745600,0.14
1589745600,1589749200,0
1589749200,1589752800,0
1589752800,1589756400,0
1589756400,1589760000,0
1589760000,1589763600,0
1589763600,1589767200,0
1589767200,1589770800,0
1589770800,1589774400,0.28
1589774400,1589778000,37.66
1589778000,1589781600,172.06
1589781600,1589785200,223.58
1589785200,1589788800,331.52
1589788800,1589792400,355.6
1589792400,1589796000,450.8
1589796000,1589799600,623
1589799600,1589803200,323.12
1589803200,1589806800,191.66
1589806800,1589810400,205.66
1589810400,1589814000,65.1
1589814000,1589817600,161.28
1589817600,1589821200,58.38
1589821200,1589824800,36.12
1589824800,1589828400,4.48
1589828400,1589832000,0
1589832000,1589835600,0
1589835600,1589839200,0
1589839200,1589842800,0
1589842800,1589846400,0
1589846400,1589850000,0
1589850000,1589853600,0
1589853600,1589857200,0
1589857200,1589860800,0.28
1589860800,1589864400,24.5
1589864400,1589868000,116.2
1589868000,1589871600,189.28
1589871600,1589875200,326.9
1589875200,1589878800,420
1589878800,1589882400,397.6
1589882400,1589886000,173.88
1589886000,1589889600,347.06
1589889600,1589893200,537.04
1589893200,1589896800,249.48
1589896800,1589900400,319.76
1589900400,1589904000,170.38
1589904000,1589907600,60.2
1589907600,1589911200,58.8
1589911200,1589914800,8.12
1589914800,1589918400,0
1589918400,1589922000,0
1589922000,1589925600,0
1589925600,1589929200,0
1589929200,1589932800,0
1589932800,1589936400,0
1589936400,1589940000,0
1589940000,1589943600,0
1589943600,1589947200,0.14
1589947200,1589950800,9.66
1589950800,1589954400,27.44
1589954400,1589958000,143.08
1589958000,1589961600,122.92
1589961600,1589965200,64.68
1589965200,1589968800,300.3
1589968800,1589972400,123.76
1589972400,1589976000,289.52
1589976000,1589979600,213.92
1589979600,1589983200,104.72
1589983200,1589986800,81.48
1589986800,1589990400,75.32
1589990400,1589994000,87.36
1589994000,1589997600,58.24
1589997600,1590001200,12.04
1590001200,1590004800,0.14
1590004800,1590008400,0
1590008400,1590012000,0
1590012000,1590015600,0
1590015600,1590019200,0
1590019200,1590022800,0
1590022800,1590026400,0
1590026400,1590030000,0
1590030000,1590033600,0.42
1590033600,1590037200,32.76
1590037200,1590040800,112.14
1590040800,1590044400,247.38
1590044400,1590048000,373.52
1590048000,1590051600,546.98
1590051600,1590055200,681.1
1590055200,1590058800,695.52
1590058800,1590062400,657.3
1590062400,1590066000,602
1590066000,1590069600,687.4
1590069600,1590073200,571.9
1590073200,1590076800,406.7
1590076800,1590080400,241.08
1590080400,1590084000,100.66
1590084000,1590087600,24.92
1590087600,1590091200,0.28
1590091200,1590094800,0
1590094800,1590098400,0
1590098400,1590102000,0
1590102000,1590105600,0
1590105600,1590109200,0
1590109200,1590112800,0
1590112800,1590116400,0
1590116400,1590120000,0.28
1590120000,1590123600,30.24
1590123600,1590127200,87.08
1590127200,1590130800,215.74
1590130800,1590134400,376.6
