"start","end","wind"
1596171600,1596175200,3.06
1596175200,1596178800,1.08
1596178800,1596182400,3.24
1596182400,1596186000,5.94
1596186000,1596189600,5.4
1596189600,1596193200,5.94
1596193200,1596196800,4.32
1596196800,1596200400,5.94
1596200400,1596204000,9.72
1596204000,1596207600,5.04
1596207600,1596211200,9
1596211200,1596214800,9.9
1596214800,1596218400,9.9
1596218400,1596222000,3.6
1596222000,1596225600,0.54
1596225600,1596229200,0
1596229200,1596232800,2.16
1596232800,1596236400,0.54
1596236400,1596240000,1.26
1596240000,1596243600,1.08
1596243600,1596247200,1.26
1596247200,1596250800,0
1596250800,1596254400,0
1596254400,1596258000,0
1596258000,1596261600,0
1596261600,1596265200,3.24
1596265200,1596268800,4.68
1596268800,1596272400,6.66
1596272400,1596276000,7.2
1596276000,1596279600,2.34
1596279600,1596283200,5.22
1596283200,1596286800,2.88
1596286800,1596290400,1.62
1596290400,1596294000,5.58
1596294000,1596297600,10.44
1596297600,1596301200,10.08
1596301200,1596304800,6.3
1596304800,1596308400,2.16
1596308400,1596312000,0
1596312000,1596315600,0
1596315600,1596319200,0
1596319200,1596322800,0
1596322800,1596326400,3.06
1596326400,1596330000,3.6
1596330000,1596333600,17.1
1596333600,1596337200,5.58
1596337200,1596340800,0.9
1596340800,1596344400,0.72
1596344400,1596348000,2.34
1596348000,1596351600,3.6
1596351600,1596355200,4.14
1596355200,1596358800,10.98
1596358800,1596362400,13.86
1596362400,1596366000,11.88
1596366000,1596369600,5.22
1596369600,1596373200,7.92
1596373200,1596376800,10.08
1596376800,1596380400,12.42
1596380400,1596384000,9.9
1596384000,1596387600,7.92
1596387600,1596391200,9.18
1596391200,1596394800,2.7
1596394800,1596398400,0.9
1596398400,1596402000,0
1596402000,1596405600,0
1596405600,1596409200,0
1596409200,1596412800,2.16
1596412800,1596416400,0
1596416400,1596420000,1.44
1596420000,1596423600,6.66
1596423600,1596427200,2.88
1596427200,1596430800,0
1596430800,1596434400,0.54
1596434400,1596438000,7.74
1596438000,1596441600,5.76
1596441600,1596445200,6.12
1596445200,1596448800,2.34
1596448800,1596452400,3.78
1596452400,1596456000,1.8
1596456000,1596459600,3.06
1596459600,1596463200,7.74
1596463200,1596466800,8.82
1596466800,1596470400,4.86
1596470400,1596474000,8.64
1596474000,1596477600,3.42
1596477600,1596481200,2.34
1596481200,1596484800,1.08
1596484800,1596488400,3.78
1596488400,1596492000,12.78
1596492000,1596495600,2.16
1596495600,1596499200,0
1596499200,1596502800,6.12
1596502800,1596506400,5.04
1596506400,1596510000,1.44
1596510000,1596513600,0.9
1596513600,1596517200,0
1596517200,1596520800,1.44
1596520800,1596524400,4.32
1596524400,1596528000,1.62
1596528000,1596531600,3.24
1596531600,1596535200,2.88
1596535200,1596538800,1.98
1596538800,1596542400,5.22
1596542400,1596546000,1.44
1596546000,1596549600,0
1596549600,1596553200,4.5
1596553200,1596556800,1.44
1596556800,1596560400,4.68
1596560400,1596564000,8.46
1596564000,1596567600,8.28
1596567600,1596571200,4.32
1596571200,1596574800,1.44
1596574800,1596578400,2.7
1596578400,1596582000,2.52
1596582000,1596585600,2.7
1596585600,1596589200,0.18
1596589200,1596592800,6.3
1596592800,1596596400,9
1596596400,1596600000,7.02
1596600000,1596603600,8.46
1596603600,1596607200,5.4
1596607200,1596610800,5.22
1596610800,1596614400,6.84
1596614400,1596618000,3.42
1596618000,1596621600,10.8
1596621600,1596625200,18
1596625200,1596628800,18.54
1596628800,1596632400,13.5
1596632400,1596636000,12.42
1596636000,1596639600,12.96
1596639600,1596643200,10.44
1596643200,1596646800,8.46
1596646800,1596650400,6.48
1596650400,1596654000,0.54
1596654000,1596657600,0
1596657600,1596661200,1.98
1596661200,1596664800,2.16
1596664800,1596668400,5.22
1596668400,1596672000,4.86
1596672000,1596675600,5.4
1596675600,1596679200,3.42
1596679200,1596682800,2.34
1596682800,1596686400,4.68
1596686400,1596690000,6.84
1596690000,1596693600,7.2
1596693600,1596697200,9
1596697200,1596700800,10.98
1596700800,1596704400,12.42
1596704400,1596708000,11.7
1596708000,1596711600,9.18
1596711600,1596715200,9.9
1596715200,1596718800,11.88
1596718800,1596722400,5.94
1596722400,1596726000,9.9
1596726000,1596729600,8.28
1596729600,1596733200,7.02
1596733200,1596736800,1.8
1596736800,1596740400,0
1596740400,1596744000,0
1596744000,1596747600,1.98
1596747600,1596751200,2.16
1596751200,1596754800,2.88
1596754800,1596758400,2.34
1596758400,1596762000,2.52
1596762000,1596765600,0
1596765600,1596769200,0
1596769200,1596772800,4.14
1596772800,1596776400,3.6
1596776400,1596780000,2.7
1596780000,1596783600,9.54
1596783600,1596787200,5.4
1596787200,1596790800,5.94
1596790800,1596794400,8.64
1596794400,1596798000,6.84
1596798000,1596801600,10.26
1596801600,1596805200,9.9
1596805200,1596808800,9.9
1596808800,1596812400,10.44
1596812400,1596816000,9.9
1596816000,1596819600,5.58
1596819600,1596823200,0.9
