x,y,z,value
0.00,0.0,0.6,-138.1
0.25,0.0,0.6,-123.8
0.50,0.0,0.6,-90.7
0.80,0.0,0.6,-31.1
0.00,0.0,0.4,-23.4
0.25,0.0,0.4,-26.8
0.50,0.0,0.4,-340.7
0.80,0.0,0.4,-218.9
0.00,0.0,0.2,-22.5
0.25,0.0,0.2,-21.6
0.50,0.0,0.2,-179.8
0.80,0.0,0.2,-370.0
