timestamp,solar_radiation
1657062000,0.0
1657065600,0.0
1657069200,0.0
1657072800,0.0
1657076400,0.0
1657080000,0.0
1657083600,0.0
1657087200,0.0
1657090800,14.6
1657094400,63.6
1657098000,72.1
1657101600,173.0
1657105200,386.8
1657108800,669.7
1657112400,643.3
1657116000,734.0
1657119600,782.2
1657123200,498.3
1657126800,533.8
1657130400,426.5
1657134000,233.7
1657137600,129.2
1657141200,25.4
1657144800,0.0
1657148400,0.0
1657152000,0.0
1657155600,0.0
1657159200,0.0
1657162800,0.0
1657166400,0.0
1657170000,0.0
1657173600,0.0
1657177200,58.9
1657180800,174.1
1657184400,339.5
1657188000,468.6
1657191600,664.2
1657195200,716.9
1657198800,650.3
1657202400,663.7
1657206000,765.5
1657209600,679.9
1657213200,512.9
1657216800,364.0
1657220400,189.1
1657224000,130.7
1657227600,25.0
1657231200,0.0
1657234800,0.0
1657238400,0.0
1657242000,0.0
1657245600,0.0
1657249200,0.0
1657252800,0.0
1657256400,0.0
1657260000,0.0
1657263600,37.6
1657267200,179.9
1657270800,338.6
1657274400,416.2
1657278000,606.3
1657281600,689.8
1657285200,705.3
1657288800,791.3
1657292400,735.6
1657296000,729.8
1657299600,621.0
1657303200,467.2
1657306800,295.7
1657310400,136.6
1657314000,25.7
1657317600,0.0
1657321200,0.0
1657324800,0.0
1657328400,0.0
1657332000,0.0
1657335600,0.0
1657339200,0.0
1657342800,0.0
1657346400,0.0
1657350000,57.6
1657353600,187.4
1657357200,360.0
1657360800,532.5
1657364400,677.7
1657368000,785.9
1657371600,855.0
1657375200,871.1
1657378800,828.1
1657382400,716.6
1657386000,600.7
1657389600,458.8
1657393200,291.6
1657396800,132.4
1657400400,25.2
1657404000,0.0
1657407600,0.0
1657411200,0.0
1657414800,0.0
1657418400,0.0
1657422000,0.0
1657425600,0.0
1657429200,0.0
1657432800,0.0
1657436400,62.2
1657440000,196.7
1657443600,363.3
1657447200,529.9
1657450800,675.8
1657454400,786.1
1657458000,850.2
1657461600,853.1
1657465200,823.0
1657468800,738.1
1657472400,614.0
1657476000,451.4
1657479600,285.7
1657483200,129.0
1657486800,23.9
1657490400,0.0
1657494000,0.0
1657497600,0.0
1657501200,0.0
1657504800,0.0
1657508400,0.0
1657512000,0.0
1657515600,0.0
1657519200,0.0
1657522800,58.9
1657526400,187.7
1657530000,341.7
1657533600,514.6
1657537200,647.4
1657540800,769.8
1657544400,699.6
1657548000,852.0
1657551600,819.2
1657555200,729.5
1657558800,602.8
1657562400,450.1
1657566000,282.7
1657569600,126.5
1657573200,23.1
1657576800,0.0
1657580400,0.0
1657584000,0.0
1657587600,0.0
1657591200,0.0
1657594800,0.0
1657598400,0.0
1657602000,0.0
1657605600,0.0
1657609200,26.5
1657612800,115.1
1657616400,181.2
1657620000,254.9
1657623600,296.9
1657627200,573.5
1657630800,724.6
1657634400,711.8
1657638000,780.5
1657641600,711.6
1657645200,598.3
1657648800,434.0
1657652400,263.5
1657656000,113.6
1657659600,21.4
1657663200,0.0
1657666800,0.0
1657670400,0.0
1657674000,0.0
1657677600,0.0
1657681200,0.0
1657684800,0.0
1657688400,0.0
1657692000,0.0
1657695600,57.8
1657699200,190.2
1657702800,354.5
1657706400,519.8
1657710000,666.8
1657713600,778.8
1657717200,846.6
1657720800,864.0
1657724400,822.6
1657728000,740.5
1657731600,614.7
1657735200,458.0
1657738800,288.5
1657742400,130.9
1657746000,23.2
1657749600,0.0
1657753200,0.0
1657756800,0.0
1657760400,0.0
1657764000,0.0
1657767600,0.0
1657771200,0.0
1657774800,0.0
1657778400,0.0
1657782000,57.3
1657785600,192.3
1657789200,360.3
1657792800,528.6
1657796400,675.9
1657800000,789.4
1657803600,855.8
1657807200,874.0
1657810800,833.3
1657814400,741.7
1657818000,612.9
1657821600,448.4
1657825200,278.5
1657828800,126.9
1657832400,22.3
1657836000,0.0
1657839600,0.0
1657843200,0.0
1657846800,0.0
1657850400,0.0
1657854000,0.0
1657857600,0.0
1657861200,0.0
1657864800,0.0
1657868400,54.2
1657872000,183.7
1657875600,346.8
1657879200,511.7
1657882800,657.3
1657886400,768.0
1657890000,834.0
1657893600,849.8
1657897200,812.7
1657900800,723.7
1657904400,588.0
1657908000,439.5
1657911600,277.6
1657915200,124.2
1657918800,21.5
1657922400,0.0
1657926000,0.0
1657929600,0.0
1657933200,0.0
1657936800,0.0
1657940400,0.0
1657944000,0.0
1657947600,0.0
1657951200,0.0
1657954800,52.8
1657958400,181.2
1657962000,344.2
1657965600,508.4
1657969200,652.4
1657972800,762.4
1657976400,828.5
1657980000,843.2
1657983600,798.1
1657987200,703.3
1657990800,523.2
1657994400,421.2
1657998000,264.4
1658001600,121.4
1658005200,20.8
1658008800,0.0
1658012400,0.0
1658016000,0.0
1658019600,0.0
1658023200,0.0
1658026800,0.0
1658030400,0.0
1658034000,0.0
1658037600,0.0
1658041200,42.6
1658044800,137.4
1658048400,280.2
1658052000,458.5
1658055600,542.3
1658059200,607.9
1658062800,712.8
1658066400,778.3
1658070000,772.8
1658073600,684.5
1658077200,541.8
1658080800,443.6
1658084400,276.3
1658088000,122.1
1658091600,20.2
1658095200,0.0
1658098800,0.0
1658102400,0.0
1658106000,0.0
1658109600,0.0
1658113200,0.0
1658116800,0.0
1658120400,0.0
1658124000,0.0
1658127600,50.4
1658131200,178.4
1658134800,342.3
1658138400,507.4
1658142000,652.9
1658145600,763.3
1658149200,830.3
1658152800,848.5
1658156400,813.1
1658160000,728.2
1658163600,601.5
