timestamp,wind_speed
1657062000,2.0
1657065600,1.3
1657069200,1.3
1657072800,1.2
1657076400,1.4
1657080000,2.3
1657083600,1.8
1657087200,2.9
1657090800,3.3
1657094400,3.6
1657098000,4.3
1657101600,3.1
1657105200,4.8
1657108800,2.9
1657112400,5.3
1657116000,4.4
1657119600,3.6
1657123200,3.3
1657126800,3.7
1657130400,2.2
1657134000,3.8
1657137600,3.6
1657141200,3.1
1657144800,2.2
1657148400,1.4
1657152000,1.1
1657155600,0.8
1657159200,0.9
1657162800,1.0
1657166400,0.9
1657170000,0.8
1657173600,1.1
1657177200,1.7
1657180800,3.0
1657184400,3.4
1657188000,3.2
1657191600,3.1
1657195200,2.4
1657198800,2.5
1657202400,4.1
1657206000,3.3
1657209600,4.2
1657213200,3.2
1657216800,3.4
1657220400,4.2
1657224000,4.1
1657227600,2.9
1657231200,2.0
1657234800,1.6
1657238400,2.8
1657242000,2.8
1657245600,1.7
1657249200,1.6
1657252800,1.8
1657256400,1.4
1657260000,2.6
1657263600,3.2
1657267200,3.6
1657270800,3.1
1657274400,2.5
1657278000,3.7
1657281600,3.1
1657285200,4.7
1657288800,3.5
1657292400,4.3
1657296000,5.0
1657299600,5.1
1657303200,4.4
1657306800,3.3
1657310400,3.0
1657314000,3.3
1657317600,2.9
1657321200,4.0
1657324800,4.6
1657328400,3.9
1657332000,1.4
1657335600,1.4
1657339200,2.7
1657342800,3.1
1657346400,2.6
1657350000,1.9
1657353600,1.7
1657357200,3.1
1657360800,4.7
1657364400,5.7
1657368000,5.9
1657371600,5.9
1657375200,6.1
1657378800,6.2
1657382400,6.0
1657386000,6.0
1657389600,5.4
1657393200,4.1
1657396800,3.0
1657400400,2.7
1657404000,2.3
1657407600,2.1
1657411200,2.3
1657414800,2.3
1657418400,2.1
1657422000,2.1
1657425600,1.7
1657429200,1.8
1657432800,2.3
1657436400,2.0
1657440000,1.6
1657443600,1.1
1657447200,1.9
1657450800,2.9
1657454400,3.2
1657458000,3.8
1657461600,4.2
1657465200,2.8
1657468800,2.5
1657472400,5.6
1657476000,5.9
1657479600,5.5
1657483200,4.4
1657486800,4.5
1657490400,3.6
1657494000,2.9
1657497600,2.2
1657501200,2.5
1657504800,1.6
1657508400,1.3
1657512000,1.7
1657515600,2.1
1657519200,2.5
1657522800,1.8
1657526400,1.4
1657530000,2.3
1657533600,3.7
1657537200,3.4
1657540800,4.2
1657544400,6.7
1657548000,7.4
1657551600,7.0
1657555200,6.5
1657558800,6.4
1657562400,6.8
1657566000,6.3
1657569600,5.4
1657573200,4.3
1657576800,3.1
1657580400,3.0
1657584000,2.5
1657587600,2.4
1657591200,1.2
1657594800,2.9
1657598400,1.2
1657602000,1.9
1657605600,1.3
1657609200,2.0
1657612800,3.1
1657616400,3.4
1657620000,3.7
1657623600,4.0
1657627200,3.6
1657630800,4.5
1657634400,4.7
1657638000,4.8
1657641600,4.2
1657645200,3.9
1657648800,4.4
1657652400,4.6
1657656000,4.5
1657659600,3.7
1657663200,2.8
1657666800,2.0
1657670400,1.7
1657674000,1.6
1657677600,0.4
1657681200,2.3
1657684800,1.8
1657688400,1.0
1657692000,1.0
1657695600,1.1
1657699200,1.2
1657702800,1.1
1657706400,1.1
1657710000,1.9
1657713600,2.6
1657717200,3.4
1657720800,2.6
1657724400,4.8
1657728000,6.1
1657731600,5.9
1657735200,5.7
1657738800,5.0
1657742400,3.6
1657746000,2.8
1657749600,2.4
1657753200,2.4
1657756800,1.7
1657760400,1.8
1657764000,0.6
1657767600,1.7
1657771200,1.6
1657774800,1.3
1657778400,1.6
1657782000,1.7
1657785600,1.1
1657789200,0.4
1657792800,1.4
1657796400,1.8
1657800000,1.8
1657803600,2.7
1657807200,3.1
1657810800,4.4
1657814400,6.5
1657818000,6.3
1657821600,5.5
1657825200,4.7
1657828800,3.2
1657832400,2.2
1657836000,2.2
1657839600,2.2
1657843200,1.8
1657846800,2.2
1657850400,2.5
1657854000,2.4
1657857600,2.3
1657861200,2.2
1657864800,2.1
1657868400,2.0
1657872000,1.9
1657875600,1.9
1657879200,1.9
1657882800,1.8
1657886400,1.8
1657890000,1.8
1657893600,1.8
1657897200,1.9
1657900800,2.0
1657904400,2.1
1657908000,2.2
1657911600,2.3
1657915200,2.4
1657918800,2.3
1657922400,2.3
1657926000,2.2
1657929600,2.1
1657933200,2.1
1657936800,1.3
1657940400,1.5
1657944000,2.0
1657947600,0.8
1657951200,0.6
1657954800,0.4
1657958400,0.9
1657962000,1.2
1657965600,1.3
1657969200,1.6
1657972800,2.4
1657976400,3.4
1657980000,3.3
1657983600,4.3
1657987200,5.1
1657990800,4.6
1657994400,4.9
1657998000,4.6
1658001600,3.8
1658005200,3.1
1658008800,2.3
1658012400,2.4
1658016000,2.2
1658019600,1.8
1658023200,0.9
1658026800,1.2
1658030400,1.5
1658034000,0.8
1658037600,0.9
1658041200,1.0
1658044800,1.1
1658048400,3.2
1658052000,3.4
1658055600,4.3
1658059200,4.8
1658062800,5.1
1658066400,5.0
1658070000,5.4
1658073600,5.9
1658077200,5.3
1658080800,5.0
1658084400,4.7
1658088000,3.7
1658091600,2.7
1658095200,2.0
1658098800,1.0
1658102400,1.2
1658106000,0.7
