x,y,z,value
0.00,0.0,0.2,-29.5
0.25,0.0,0.2,-58.7
0.50,0.0,0.2,-616.2
0.80,0.0,0.2,-687.9
0.00,0.0,0.4,-22.8
0.25,0.0,0.4,-9999.0
0.50,0.0,0.4,-159.3
0.80,0.0,0.4,-377.7
0.00,0.0,0.6,-478.4
0.25,0.0,0.6,-434.9
0.50,0.0,0.6,-706.8
0.80,0.0,0.6,-374.8
