timestamp,z0.6_y0.0_x0.0,z0.6_y0.0_x0.25,z0.6_y0.0_x0.5,z0.6_y0.0_x0.8,z0.4_y0.0_x0.0,z0.4_y0.0_x0.25,z0.4_y0.0_x0.5,z0.4_y0.0_x0.8,z0.2_y0.0_x0.0,z0.2_y0.0_x0.25,z0.2_y0.0_x0.5,z0.2_y0.0_x0.8
1631502000,-503.9318072439,-297.59099151,-335.9035755804,-598.0968081756,-27.9897075111,-211.33077696,-527.1209207391,-771.6420081111,-21.3288467904,-33.8316987879,-227.6732693991,-648.2657627963998
1631505600,-501.26552889239997,-295.0396191975,-335.9035755804,-596.6240075991001,-27.9897075111,-211.33077696,-525.5891794359,-769.2447054396,-21.6164720124,-33.8316987879,-226.1761655079,-649.3738325439
1631509200,-499.7738171775,-292.8123099399,-336.2728566396,-595.5080568816,-27.7022943975,-211.6588815039,-524.8682536791,-767.6315221599001,-21.3288467904,-33.5444802399,-225.80184700709998,-649.3738325439
1631512800,-498.2818160064,-290.9557510839,-336.2728566396,-595.1509175664,-27.7022943975,-211.6588815039,-524.1021955056,-766.8465987231,-21.6164720124,-33.8316987879,-224.6787894375,-651.9439145775
1631516400,-496.78952537910004,-288.7273190871,-336.2728566396,-595.5080568816,-27.7022943975,-211.6588815039,-524.1021955056,-766.017975,-21.6164720124,-33.8316987879,-224.3044028919,-653.05143279
1631520000,-495.2969452956,-287.6128734375,-337.0113677244,-596.6240075991001,-27.7022943975,-211.9869730236,-524.1021955056,-766.45410471,-21.6164720124,-34.166775,-224.6787894375,-657.4355734311
1631523600,-494.52792743910004,-288.3558542151,-337.38059775,-599.6139363264,-27.9897075111,-212.3150515191,-524.8682536791,-769.2447054396,-21.9040876656,-34.166775,-226.1761655079,-661.8613536111
1631527200,-496.0206566364,-293.55481440389997,-338.85734774040003,-604.3864227975,-27.9897075111,-213.2992088604,-526.7154897084,-774.0820719975,-21.9040876656,-34.4539728156,-228.79591869990003,-667.3456296039
1631530800,-500.1806763516,-304.2671397276,-340.70290247639997,-609.5568955071,-27.9897075111,-214.9392106119,-528.9676118783999,-779.6562308199001,-21.9040876656,-34.166775,-231.46159719,-672.4723814031
1631534400,-508.04238858239995,-317.8804952064,-343.28596463639997,-615.4807086576001,-28.325010716399998,-217.5625361559,-533.82992796,-789.7048243056,-22.19169375,-33.8316987879,-237.07072911,-680.90605056
1631538000,-515.1290960775,-330.4085113071,-345.82208933190003,-619.1751417519,-28.325010716399998,-216.2509775775,-537.5646010479,-795.7011126204,-22.19169375,-33.8316987879,-239.7337259439,-686.3761211376
1631541600,-520.76669439,-338.85734774040003,-348.7722040839,-623.9796144375,-27.9897075111,-215.59512014310002,-543.5003094375,-804.9029407355998,-22.19169375,-33.8316987879,-241.6019799999,-691.489584
1631545200,-525.2287250631,-343.9777147479,-351.3526614039,-626.5585146519,-27.7022943975,-217.23466604759997,-547.2302393244,-810.0628830399,-22.19169375,-33.8316987879,-242.3491625439,-697.7002703751
1631548800,-529.32788976,-347.66603863589995,-353.8862277744,-629.4920375871,-27.7022943975,-221.6832207591,-553.5624287271,-818.0338717838998,-22.19169375,-33.5444802399,-241.9755797775,-704.3455711344002
