"start","end","wind"
1589533200,1589536800,19.26
1589536800,1589540400,15.12
1589540400,1589544000,14.4
1589544000,1589547600,13.14
1589547600,1589551200,11.7
1589551200,1589554800,13.14
1589554800,1589558400,13.68
1589558400,1589562000,11.16
1589562000,1589565600,10.62
1589565600,1589569200,8.64
1589569200,1589572800,7.02
1589572800,1589576400,3.96
1589576400,1589580000,3.6
1589580000,1589583600,1.08
1589583600,1589587200,1.26
1589587200,1589590800,1.08
1589590800,1589594400,0.9
1589594400,1589598000,0
1589598000,1589601600,0
1589601600,1589605200,2.34
1589605200,1589608800,1.8
1589608800,1589612400,2.34
1589612400,1589616000,0.72
1589616000,1589619600,5.4
1589619600,1589623200,6.48
1589623200,1589626800,9.72
1589626800,1589630400,9.18
1589630400,1589634000,9.36
1589634000,1589637600,8.28
1589637600,1589641200,10.98
1589641200,1589644800,5.4
1589644800,1589648400,3.06
1589648400,1589652000,1.8
1589652000,1589655600,1.8
1589655600,1589659200,0.9
1589659200,1589662800,1.98
1589662800,1589666400,2.52
1589666400,1589670000,1.08
1589670000,1589673600,1.08
1589673600,1589677200,1.98
1589677200,1589680800,1.62
1589680800,1589684400,3.24
1589684400,1589688000,4.86
1589688000,1589691600,5.58
1589691600,1589695200,6.66
1589695200,1589698800,7.2
1589698800,1589702400,5.58
1589702400,1589706000,0.9
1589706000,1589709600,2.52
1589709600,1589713200,3.06
1589713200,1589716800,2.88
1589716800,1589720400,6.66
1589720400,1589724000,4.86
1589724000,1589727600,3.06
1589727600,1589731200,7.92
1589731200,1589734800,8.1
1589734800,1589738400,6.3
1589738400,1589742000,2.7
1589742000,1589745600,1.44
1589745600,1589749200,0
1589749200,1589752800,0.9
1589752800,1589756400,1.26
1589756400,1589760000,1.08
1589760000,1589763600,0.36
1589763600,1589767200,0.54
1589767200,1589770800,1.44
1589770800,1589774400,1.62
1589774400,1589778000,2.52
1589778000,1589781600,4.5
1589781600,1589785200,5.22
1589785200,1589788800,3.42
1589788800,1589792400,5.22
1589792400,1589796000,5.94
1589796000,1589799600,6.66
1589799600,1589803200,6.3
1589803200,1589806800,2.7
1589806800,1589810400,4.32
1589810400,1589814000,2.16
1589814000,1589817600,1.62
1589817600,1589821200,1.44
1589821200,1589824800,0
1589824800,1589828400,1.44
1589828400,1589832000,2.7
1589832000,1589835600,6.66
1589835600,1589839200,4.32
1589839200,1589842800,2.88
1589842800,1589846400,1.62
1589846400,1589850000,4.5
1589850000,1589853600,7.56
1589853600,1589857200,1.8
1589857200,1589860800,1.44
1589860800,1589864400,4.86
1589864400,1589868000,3.78
1589868000,1589871600,6.12
1589871600,1589875200,10.62
1589875200,1589878800,10.26
1589878800,1589882400,8.1
1589882400,1589886000,6.84
1589886000,1589889600,10.08
1589889600,1589893200,11.34
1589893200,1589896800,12.42
1589896800,1589900400,13.14
1589900400,1589904000,14.04
1589904000,1589907600,7.02
1589907600,1589911200,12.06
1589911200,1589914800,6.12
1589914800,1589918400,9
1589918400,1589922000,9.18
1589922000,1589925600,8.46
1589925600,1589929200,4.5
1589929200,1589932800,5.76
1589932800,1589936400,11.16
1589936400,1589940000,11.88
1589940000,1589943600,11.7
1589943600,1589947200,9.18
1589947200,1589950800,8.1
1589950800,1589954400,10.26
1589954400,1589958000,9.54
1589958000,1589961600,6.66
1589961600,1589965200,6.12
1589965200,1589968800,5.76
1589968800,1589972400,4.14
1589972400,1589976000,9.18
1589976000,1589979600,3.96
1589979600,1589983200,3.6
1589983200,1589986800,1.98
1589986800,1589990400,3.96
1589990400,1589994000,0.72
1589994000,1589997600,2.7
1589997600,1590001200,1.26
1590001200,1590004800,2.7
1590004800,1590008400,1.8
1590008400,1590012000,3.24
1590012000,1590015600,1.44
1590015600,1590019200,0
1590019200,1590022800,1.44
1590022800,1590026400,0
1590026400,1590030000,3.06
1590030000,1590033600,2.34
1590033600,1590037200,0.54
1590037200,1590040800,1.8
1590040800,1590044400,6.48
1590044400,1590048000,5.58
1590048000,1590051600,4.86
1590051600,1590055200,1.62
1590055200,1590058800,4.32
1590058800,1590062400,6.12
1590062400,1590066000,1.62
1590066000,1590069600,7.2
1590069600,1590073200,5.22
1590073200,1590076800,5.58
1590076800,1590080400,7.02
1590080400,1590084000,2.34
1590084000,1590087600,1.98
1590087600,1590091200,0.54
1590091200,1590094800,1.26
1590094800,1590098400,3.6
1590098400,1590102000,3.78
1590102000,1590105600,3.42
1590105600,1590109200,2.52
1590109200,1590112800,3.6
1590112800,1590116400,0
1590116400,1590120000,0
1590120000,1590123600,0
1590123600,1590127200,3.24
1590127200,1590130800,6.84
1590130800,1590134400,9
1590134400,1590138000,8.1
1590138000,1590141600,8.1
1590141600,1590145200,7.92
1590145200,1590148800,9.36
1590148800,1590152400,10.08
1590152400,1590156000,12.24
1590156000,1590159600,10.8
1590159600,1590163200,8.46
1590163200,1590166800,7.38
1590166800,1590170400,3.96
1590170400,1590174000,2.16
1590174000,1590177600,1.44
1590177600,1590181200,1.26
1590181200,1590184800,1.08
1590184800,1590188400,0
1590188400,1590192000,0.54
1590192000,1590195600,0.18
1590195600,1590199200,3.06
1590199200,1590202800,5.94
1590202800,1590206400,2.52
1590206400,1590210000,4.5
1590210000,1590213600,0
1590213600,1590217200,0
1590217200,1590220800,3.6
1590220800,1590224400,1.62
1590224400,1590228000,9.9
1590228000,1590231600,8.46
1590231600,1590235200,8.1
1590235200,1590238800,13.14
1590238800,1590242400,14.76
1590242400,1590246000,14.76
1590246000,1590249600,19.08
1590249600,1590253200,18.18
1590253200,1590256800,14.4
1590256800,1590260400,9.54
1590260400,1590264000,14.22
1590264000,1590267600,6.66
1590267600,1590271200,7.92
1590271200,1590274800,5.58
1590274800,1590278400,8.1
1590278400,1590282000,4.86
1590282000,1590285600,6.12
1590285600,1590289200,3.6
1590289200,1590292800,0.36
1590292800,1590296400,3.06
1590296400,1590300000,4.86
1590300000,1590303600,4.5
1590303600,1590307200,6.12
1590307200,1590310800,9.72
1590310800,1590314400,11.88
1590314400,1590318000,14.04
1590318000,1590321600,12.96
1590321600,1590325200,10.62
1590325200,1590328800,11.88
1590328800,1590332400,12.6
1590332400,1590336000,10.08
1590336000,1590339600,8.82
1590339600,1590343200,6.66
1590343200,1590346800,4.32
1590346800,1590350400,0
1590350400,1590354000,0
1590354000,1590357600,1.26
1590357600,1590361200,1.44
1590361200,1590364800,0
1590364800,1590368400,0.36
1590368400,1590372000,0
1590372000,1590375600,0
1590375600,1590379200,0
1590379200,1590382800,0
1590382800,1590386400,3.96
1590386400,1590390000,1.26
1590390000,1590393600,1.98
1590393600,1590397200,6.66
1590397200,1590400800,4.5
1590400800,1590404400,4.86
1590404400,1590408000,5.22
1590408000,1590411600,3.24
1590411600,1590415200,4.5
1590415200,1590418800,6.84
1590418800,1590422400,6.48
1590422400,1590426000,9.72
1590426000,1590429600,3.78
1590429600,1590433200,2.34
1590433200,1590436800,0.9
1590436800,1590440400,1.08
1590440400,1590444000,1.62
1590444000,1590447600,0
1590447600,1590451200,1.08
1590451200,1590454800,4.86
1590454800,1590458400,12.42
1590458400,1590462000,11.16
1590462000,1590465600,5.04
1590465600,1590469200,3.6
1590469200,1590472800,5.76
1590472800,1590476400,10.98
1590476400,1590480000,12.42
1590480000,1590483600,16.38
1590483600,1590487200,13.32
1590487200,1590490800,15.84
1590490800,1590494400,15.84
1590494400,1590498000,12.78
1590498000,1590501600,12.06
1590501600,1590505200,15.84
1590505200,1590508800,11.7
1590508800,1590512400,7.02
1590512400,1590516000,7.02
1590516000,1590519600,8.64
1590519600,1590523200,3.24
1590523200,1590526800,0
1590526800,1590530400,0
1590530400,1590534000,1.08
1590534000,1590537600,0.9
1590537600,1590541200,0.72
1590541200,1590544800,1.98
1590544800,1590548400,1.26
1590548400,1590552000,1.98
1590552000,1590555600,1.08
1590555600,1590559200,1.98
1590559200,1590562800,0.18
1590562800,1590566400,7.38
1590566400,1590570000,11.52
1590570000,1590573600,8.64
1590573600,1590577200,12.24
1590577200,1590580800,6.12
1590580800,1590584400,10.8
1590584400,1590588000,9
1590588000,1590591600,12.96
1590591600,1590595200,6.48
1590595200,1590598800,6.84
1590598800,1590602400,1.8
1590602400,1590606000,0
1590606000,1590609600,2.7
1590609600,1590613200,4.14
1590613200,1590616800,4.32
1590616800,1590620400,3.6
1590620400,1590624000,1.98
1590624000,1590627600,4.14
1590627600,1590631200,3.78
1590631200,1590634800,1.08
1590634800,1590638400,0.18
1590638400,1590642000,0
1590642000,1590645600,0.9
1590645600,1590649200,0.54
1590649200,1590652800,2.88
1590652800,1590656400,8.28
1590656400,1590660000,6.84
1590660000,1590663600,7.74
1590663600,1590667200,7.74
1590667200,1590670800,10.08
1590670800,1590674400,10.62
1590674400,1590678000,9.54
1590678000,1590681600,10.98
1590681600,1590685200,9.18
1590685200,1590688800,9.18
1590688800,1590692400,4.68
1590692400,1590696000,1.62
1590696000,1590699600,1.8
1590699600,1590703200,0
1590703200,1590706800,2.7
1590706800,1590710400,10.44
1590710400,1590714000,7.38
1590714000,1590717600,5.76
1590717600,1590721200,1.08
1590721200,1590724800,2.52
1590724800,1590728400,1.44
1590728400,1590732000,3.96
1590732000,1590735600,2.7
1590735600,1590739200,4.32
1590739200,1590742800,4.14
1590742800,1590746400,3.24
1590746400,1590750000,7.38
1590750000,1590753600,6.3
1590753600,1590757200,4.5
1590757200,1590760800,4.68
1590760800,1590764400,6.48
1590764400,1590768000,4.68
1590768000,1590771600,1.62
1590771600,1590775200,1.98
1590775200,1590778800,1.92
1590778800,1590782400,2.34
1590782400,1590786000,1.8
1590786000,1590789600,1.89
1590789600,1590793200,1.44
1590793200,1590796800,1.8
1590796800,1590800400,2.34
1590800400,1590804000,2.7
1590804000,1590807600,3.42
1590807600,1590811200,2.61
1590811200,1590814800,2.52
1590814800,1590818400,3.33
1590818400,1590822000,5.58
1590822000,1590825600,5.4
1590825600,1590829200,4.32
1590829200,1590832800,3.69
1590832800,1590836400,7.02
1590836400,1590840000,5.04
1590840000,1590843600,6.03
1590843600,1590847200,4.95
1590847200,1590850800,7.2
1590850800,1590854400,4.23
1590854400,1590858000,6.21
1590858000,1590861600,6.12
1590861600,1590865200,5.31
1590865200,1590868800,2.88
1590868800,1590872400,3.51
1590872400,1590876000,4.86
1590876000,1590879600,1.8
1590879600,1590883200,2.88
1590883200,1590886800,1.98
1590886800,1590890400,1.98
1590890400,1590894000,0.72
1590894000,1590897600,1.44
1590897600,1590901200,2.52
1590901200,1590904800,2.16
1590904800,1590908400,1.98
1590908400,1590912000,0.45
1590912000,1590915600,3.06
1590915600,1590919200,2.52
1590919200,1590922800,4.14
1590922800,1590926400,3.78
1590926400,1590930000,1.98
1590930000,1590933600,3.96
1590933600,1590937200,6.93
1590937200,1590940800,8.82
1590940800,1590944400,5.04
1590944400,1590948000,5.94
1590948000,1590951600,6.48
1590951600,1590955200,5.49
1590955200,1590958800,4.59
1590958800,1590962400,3.51
1590962400,1590966000,2.04
1590966000,1590969600,0.36
1590969600,1590973200,1.62
1590973200,1590976800,1.8
1590976800,1590980400,0
1590980400,1590984000,0.18
1590984000,1590987600,1.44
1590987600,1590991200,1.08
1590991200,1590994800,0.63
1590994800,1590998400,1.35
1590998400,1591002000,1.26
1591002000,1591005600,0.9
1591005600,1591009200,3.06
1591009200,1591012800,4.23
1591012800,1591016400,3.51
1591016400,1591020000,3.87
1591020000,1591023600,5.4
1591023600,1591027200,7.02
1591027200,1591030800,6.84
1591030800,1591034400,4.77
1591034400,1591038000,3.24
1591038000,1591041600,4.14
1591041600,1591045200,5.49
1591045200,1591048800,4.23
1591048800,1591052400,1.44
1591052400,1591056000,3.24
1591056000,1591059600,4.14
1591059600,1591063200,0
1591063200,1591066800,1.17
1591066800,1591070400,3.24
1591070400,1591074000,2.07
1591074000,1591077600,0.09
1591077600,1591081200,0.81
1591081200,1591084800,1.98
1591084800,1591088400,2.7
1591088400,1591092000,3.69
1591092000,1591095600,4.14
1591095600,1591099200,4.5
1591099200,1591102800,5.31
1591102800,1591106400,6.12
1591106400,1591110000,5.94
1591110000,1591113600,9.45
1591113600,1591117200,6.39
1591117200,1591120800,5.04
1591120800,1591124400,3.51
1591124400,1591128000,5.85
1591128000,1591131600,5.49
1591131600,1591135200,2.88
1591135200,1591138800,1.92
1591138800,1591142400,0
1591142400,1591146000,3.6
1591146000,1591149600,3.42
1591149600,1591153200,3.51
1591153200,1591156800,1.8
1591156800,1591160400,2.52
1591160400,1591164000,2.97
1591164000,1591167600,3.15
1591167600,1591171200,4.68
1591171200,1591174800,2.43
1591174800,1591178400,2.79
1591178400,1591182000,5.13
1591182000,1591185600,9.18
1591185600,1591189200,7.65
1591189200,1591192800,8.55
1591192800,1591196400,10.98
1591196400,1591200000,12.6
1591200000,1591203600,12.06
1591203600,1591207200,14.4
1591207200,1591210800,12.51
1591210800,1591214400,11.79
1591214400,1591218000,7.92
1591218000,1591221600,10.35
1591221600,1591225200,8.28
1591225200,1591228800,9.45
1591228800,1591232400,3.6
1591232400,1591236000,5.58
1591236000,1591239600,5.94
1591239600,1591243200,3.96
1591243200,1591246800,2.34
1591246800,1591250400,2.61
1591250400,1591254000,3.42
1591254000,1591257600,0
1591257600,1591261200,2.52
1591261200,1591264800,2.25
1591264800,1591268400,2.7
1591268400,1591272000,0.36
1591272000,1591275600,3.87
1591275600,1591279200,2.34
1591279200,1591282800,3.69
1591282800,1591286400,0.9
1591286400,1591290000,5.58
1591290000,1591293600,2.61
1591293600,1591297200,4.68
1591297200,1591300800,3.96
1591300800,1591304400,7.74
1591304400,1591308000,5.85
1591308000,1591311600,5.4
1591311600,1591315200,4.68
1591315200,1591318800,1.08
1591318800,1591322400,1.62
1591322400,1591326000,5.49
1591326000,1591329600,4.41
1591329600,1591333200,2.52
1591333200,1591336800,2.43
1591336800,1591340400,4.59
1591340400,1591344000,3.06
1591344000,1591347600,3.24
1591347600,1591351200,6.3
1591351200,1591354800,6.21
1591354800,1591358400,4.5
1591358400,1591362000,7.56
1591362000,1591365600,7.38
1591365600,1591369200,8.1
1591369200,1591372800,5.94
1591372800,1591376400,9.99
1591376400,1591380000,5.76
1591380000,1591383600,4.32
1591383600,1591387200,2.52
1591387200,1591390800,4.68
1591390800,1591394400,3.33
1591394400,1591398000,0.96
1591398000,1591401600,1.08
1591401600,1591405200,1.62
1591405200,1591408800,0.9
1591408800,1591412400,0.36
1591412400,1591416000,0.54
1591416000,1591419600,0.81
1591419600,1591423200,1.89
1591423200,1591426800,1.53
1591426800,1591430400,0.54
1591430400,1591434000,2.61
1591434000,1591437600,4.77
1591437600,1591441200,2.61
1591441200,1591444800,1.71
1591444800,1591448400,7.47
1591448400,1591452000,7.47
1591452000,1591455600,5.4
1591455600,1591459200,5.94
1591459200,1591462800,9
1591462800,1591466400,6.48
1591466400,1591470000,7.38
1591470000,1591473600,7.11
1591473600,1591477200,6.21
1591477200,1591480800,5.94
1591480800,1591484400,3
1591484400,1591488000,0.9
1591488000,1591491600,1.98
1591491600,1591495200,0
1591495200,1591498800,0.27
1591498800,1591502400,0.45
1591502400,1591506000,0.99
1591506000,1591509600,0
1591509600,1591513200,1.44
1591513200,1591516800,4.86
1591516800,1591520400,2.34
1591520400,1591524000,2.25
1591524000,1591527600,6.48
1591527600,1591531200,11.7
1591531200,1591534800,9.63
1591534800,1591538400,6.66
1591538400,1591542000,8.82
1591542000,1591545600,11.79
1591545600,1591549200,11.7
1591549200,1591552800,5.76
1591552800,1591556400,7.65
1591556400,1591560000,4.95
1591560000,1591563600,7.74
1591563600,1591567200,4.86
1591567200,1591570800,3.96
1591570800,1591574400,1.98
1591574400,1591578000,1.26
1591578000,1591581600,0.36
1591581600,1591585200,1.8
1591585200,1591588800,0.99
1591588800,1591592400,0.63
1591592400,1591596000,0.81
1591596000,1591599600,1.89
1591599600,1591603200,1.62
1591603200,1591606800,2.34
1591606800,1591610400,3.24
1591610400,1591614000,5.22
1591614000,1591617600,4.77
1591617600,1591621200,4.68
1591621200,1591624800,2.79
1591624800,1591628400,5.04
1591628400,1591632000,5.13
1591632000,1591635600,4.59
