"start","end","temperature"
1589619600,1589623200,19.675
1589623200,1589626800,20.11
1589626800,1589630400,20.18
1589630400,1589634000,20.505
1589634000,1589637600,20.08
1589637600,1589641200,19.005
1589641200,1589644800,17.96
1589644800,1589648400,17.475
1589648400,1589652000,17.25
1589652000,1589655600,16.98
1589655600,1589659200,16.47
1589659200,1589662800,16.2
1589662800,1589666400,15.97
1589666400,1589670000,15.475
1589670000,1589673600,15.415
1589673600,1589677200,15.55
1589677200,1589680800,15.705
1589680800,1589684400,15.725
1589684400,1589688000,15.845
1589688000,1589691600,15.565
1589691600,1589695200,15.71
1589695200,1589698800,16.635
1589698800,1589702400,18.53
1589702400,1589706000,20.25
1589706000,1589709600,22.235
1589709600,1589713200,23.4
1589713200,1589716800,23.94
1589716800,1589720400,24.285
1589720400,1589724000,24.985
1589724000,1589727600,25.385
1589727600,1589731200,26.405
1589731200,1589734800,24.495
1589734800,1589738400,23.58
1589738400,1589742000,21.16
1589742000,1589745600,18.15
1589745600,1589749200,15.705
1589749200,1589752800,14.395
1589752800,1589756400,13.88
1589756400,1589760000,13.02
1589760000,1589763600,13.06
1589763600,1589767200,12.58
1589767200,1589770800,12.04
1589770800,1589774400,12.745
1589774400,1589778000,13.725
1589778000,1589781600,15.545
1589781600,1589785200,18.165
1589785200,1589788800,20.365
1589788800,1589792400,21.48
1589792400,1589796000,22.205
1589796000,1589799600,23.26
1589799600,1589803200,23.535
1589803200,1589806800,22.815
1589806800,1589810400,23.39
1589810400,1589814000,21.355
1589814000,1589817600,20.59
1589817600,1589821200,20.755
1589821200,1589824800,20.185
1589824800,1589828400,19.73
1589828400,1589832000,18.73
1589832000,1589835600,18.195
1589835600,1589839200,17.63
1589839200,1589842800,17.245
1589842800,1589846400,16.775
1589846400,1589850000,15.855
1589850000,1589853600,16.22
1589853600,1589857200,15.65
1589857200,1589860800,14.365
1589860800,1589864400,14.775
1589864400,1589868000,15.97
1589868000,1589871600,17.16
1589871600,1589875200,19.515
1589875200,1589878800,21.04
1589878800,1589882400,21.955
1589882400,1589886000,22.43
1589886000,1589889600,22.785
1589889600,1589893200,23.3
1589893200,1589896800,22.42
1589896800,1589900400,22.505
1589900400,1589904000,22.015
1589904000,1589907600,21.625
1589907600,1589911200,20.98
1589911200,1589914800,20.19
1589914800,1589918400,19.355
1589918400,1589922000,18.955
1589922000,1589925600,18.23
1589925600,1589929200,17.88
1589929200,1589932800,17.75
1589932800,1589936400,17.15
1589936400,1589940000,16.44
1589940000,1589943600,15.825
1589943600,1589947200,15.685
1589947200,1589950800,15.86
1589950800,1589954400,16.17
1589954400,1589958000,16.9
1589958000,1589961600,17.815
1589961600,1589965200,17.87
1589965200,1589968800,18.645
1589968800,1589972400,19.42
1589972400,1589976000,20.24
1589976000,1589979600,20.74
