x,y,z,value
0.00,0.0,0.2,-23.1
0.25,0.0,0.2,-21.0
0.50,0.0,0.2,-27.1
0.80,0.0,0.2,-797.3
0.00,0.0,0.4,-23.4
0.25,0.0,0.4,-26.2
0.50,0.0,0.4,-127.7
0.80,0.0,0.4,-395.2
0.00,0.0,0.6,-270.6
0.25,0.0,0.6,-224.7
0.50,0.0,0.6,-151.7
0.80,0.0,0.6,-217.9
