timestamp,wind_speed
1654034400,0
1654038000,0.72
1654041600,3.24
1654045200,4.86
1654048800,3.78
1654052400,1.62
1654056000,1.26
1654059600,1.26
1654063200,0.9
1654066800,3.24
1654070400,8.64
1654074000,8.28
1654077600,3.6
1654081200,5.94
1654084800,8.46
1654088400,8.1
1654092000,6.66
1654095600,5.94
1654099200,8.46
1654102800,4.14
1654106400,1.44
1654110000,0
1654113600,0.54
1654117200,4.68
1654120800,1.26
1654124400,0
1654128000,6.12
1654131600,3.06
1654135200,5.76
1654138800,1.8
1654142400,1.26
1654146000,3.96
1654149600,2.88
1654153200,4.14
1654156800,5.04
1654160400,6.48
1654164000,3.24
1654167600,3.6
1654171200,6.66
1654174800,5.22
1654178400,6.84
1654182000,9.18
1654185600,8.28
1654189200,3.96
1654192800,0.72
1654196400,0
1654200000,1.26
1654203600,2.7
1654207200,1.98
1654210800,2.88
1654214400,2.7
1654218000,3.6
1654221600,3.24
1654225200,0
1654228800,0.72
1654232400,1.62
1654236000,3.6
1654239600,4.14
1654243200,2.88
1654246800,3.06
1654250400,3.06
1654254000,1.98
1654257600,0.9
1654261200,0
1654264800,1.44
1654268400,0
1654272000,0.9
1654275600,1.08
1654279200,0
1654282800,0
1654286400,0
1654290000,0
1654293600,1.08
1654297200,2.7
1654300800,4.32
1654304400,3.78
1654308000,1.98
1654311600,3.06
1654315200,4.32
1654318800,1.8
1654322400,0
1654326000,3.96
1654329600,5.4
1654333200,4.5
1654336800,3.78
1654340400,8.1
1654344000,6.12
1654347600,5.04
1654351200,9.36
1654354800,9.18
1654358400,7.74
1654362000,4.32
1654365600,0
1654369200,0.72
1654372800,1.98
1654376400,2.7
1654380000,2.88
1654383600,3.24
1654387200,1.98
1654390800,1.44
1654394400,4.32
1654398000,1.08
1654401600,0.72
1654405200,3.06
1654408800,0.54
1654412400,1.8
1654416000,2.88
1654419600,4.5
1654423200,6.66
1654426800,1.26
1654430400,0.72
1654434000,1.98
1654437600,5.4
1654441200,6.84
1654444800,5.94
1654448400,8.28
1654452000,4.68
1654455600,6.3
1654459200,4.86
1654462800,2.88
1654466400,2.7
1654470000,0
1654473600,4.5
1654477200,1.08
1654480800,3.42
1654484400,2.16
1654488000,2.16
1654491600,2.52
1654495200,4.86
1654498800,2.52
1654502400,4.86
1654506000,3.24
1654509600,5.58
1654513200,2.52
1654516800,8.46
1654520400,9.9
1654524000,4.86
1654527600,5.58
1654531200,3.24
1654534800,1.26
1654538400,0
1654542000,0
1654545600,0
1654549200,0.54
1654552800,0
1654556400,0
1654560000,0.72
1654563600,0
1654567200,0
1654570800,0
1654574400,1.44
1654578000,2.16
1654581600,4.86
1654585200,3.96
1654588800,6.48
1654592400,5.4
1654596000,1.44
1654599600,4.68
1654603200,7.92
1654606800,5.94
1654610400,5.58
1654614000,10.98
1654617600,4.32
1654621200,4.86
1654624800,3.6
1654628400,0.9
1654632000,0
1654635600,0
1654639200,0
1654642800,0.72
1654646400,3.6
1654650000,0
1654653600,3.96
1654657200,1.62
1654660800,4.14
1654664400,3.06
1654668000,0.36
1654671600,4.32
1654675200,3.06
1654678800,5.58
1654682400,5.58
1654686000,7.92
1654689600,10.8
1654693200,13.14
1654696800,9.54
1654700400,10.26
1654704000,5.58
1654707600,1.62
1654711200,0
1654714800,0
1654718400,0
1654722000,0
1654725600,1.26
1654729200,3.96
1654732800,8.1
1654736400,1.8
1654740000,1.26
1654743600,0
1654747200,0.36
1654750800,0
1654754400,5.4
1654758000,5.22
1654761600,7.92
