timestamp,air_humidity
1654034400,93.6
1654038000,94.6
1654041600,95.2
1654045200,95.7
1654048800,95.3
1654052400,93.6
1654056000,93.8
1654059600,87.15
1654063200,76.5
1654066800,70.55
1654070400,67.8
1654074000,67.55
1654077600,65.2
1654081200,63.1
1654084800,61.45
1654088400,62.65
1654092000,67.2
1654095600,67.1
1654099200,70.2
1654102800,70
1654106400,72.75
1654110000,82.1
1654113600,89
1654117200,91.05
1654120800,85.6
1654124400,83.1
1654128000,81.85
1654131600,75.6
1654135200,74.55
1654138800,74.6
1654142400,76.7
1654146000,72.4
1654149600,66.9
1654153200,61.45
1654156800,60.75
1654160400,60.1
1654164000,58.65
1654167600,56.7
1654171200,54.25
1654174800,53.4
1654178400,54.6
1654182000,61.6
1654185600,61.8
1654189200,60.6
1654192800,63.75
1654196400,77.4
1654200000,83.75
1654203600,84.9
1654207200,86.7
1654210800,88.15
1654214400,89
1654218000,90
1654221600,89.65
1654225200,90.65
1654228800,91.9
1654232400,89.6
1654236000,81.2
1654239600,78.15
1654243200,74.45
1654246800,74.95
1654250400,72.85
1654254000,73.4
1654257600,76.8
1654261200,77.65
1654264800,76.3
1654268400,76.4
1654272000,80.15
1654275600,78.35
1654279200,83.85
1654282800,90
1654286400,92.6
1654290000,93.7
1654293600,94.6
1654297200,95.05
1654300800,94.85
1654304400,92.95
1654308000,91.7
1654311600,91.85
1654315200,91.65
1654318800,89.4
1654322400,83.75
1654326000,81.3
1654329600,81.4
1654333200,76.2
1654336800,72.05
1654340400,69.8
1654344000,67.25
1654347600,64.95
1654351200,63.35
1654354800,66.3
1654358400,66.8
1654362000,68.45
1654365600,71.45
1654369200,80.95
1654372800,87.45
1654376400,88.8
1654380000,91.05
1654383600,92.75
1654387200,93.3
1654390800,94.05
1654394400,94.2
1654398000,92.3
1654401600,90.05
1654405200,83
1654408800,78.95
1654412400,76.25
1654416000,72.05
1654419600,68.75
1654423200,51.55
1654426800,48.75
1654430400,52
1654434000,61.5
1654437600,53.75
1654441200,46.55
1654444800,48.8
1654448400,47.6
1654452000,51.75
1654455600,56.65
1654459200,57.3
1654462800,59.3
1654466400,60.5
1654470000,69.55
1654473600,75.75
1654477200,70.7
1654480800,76.3
1654484400,77.1
1654488000,78.05
1654491600,72.7
1654495200,67.15
1654498800,59.75
1654502400,56.8
1654506000,56.85
1654509600,56.4
1654513200,55.35
1654516800,53.7
1654520400,54.65
1654524000,56.95
1654527600,60.1
1654531200,60.8
1654534800,62.35
1654538400,65.6
1654542000,78
1654545600,86.6
1654549200,89.8
1654552800,91.1
1654556400,92.35
1654560000,92.35
1654563600,90.2
1654567200,90.9
1654570800,91.35
1654574400,91.05
1654578000,74.15
1654581600,69
1654585200,63.65
1654588800,60.7
1654592400,58.6
1654596000,58.4
1654599600,58.55
1654603200,56.85
1654606800,54.05
1654610400,54.05
1654614000,61.75
1654617600,84.05
1654621200,87.15
1654624800,84.85
1654628400,88
1654632000,91.5
1654635600,93.05
1654639200,93.75
1654642800,94.25
1654646400,94.75
1654650000,94.35
1654653600,94.5
1654657200,94.2
1654660800,93
1654664400,85.55
1654668000,77.55
1654671600,72.15
1654675200,66.15
1654678800,62.15
1654682400,59.9
1654686000,58.3
1654689600,55.95
1654693200,56.45
1654696800,55.6
1654700400,54.8
1654704000,56.15
1654707600,57.45
1654711200,62.4
1654714800,67.7
1654718400,73.15
1654722000,75.8
1654725600,73.9
1654729200,69.2
1654732800,75.65
1654736400,85.45
1654740000,88.15
1654743600,90.15
1654747200,91.65
1654750800,90.8
1654754400,86.6
1654758000,82.25
1654761600,77.05
1654765200,75.1
1654768800,68.65
1654772400,63.2
1654776000,61.35
1654779600,64
1654783200,66.6
1654786800,83.2
1654790400,84.1
1654794000,85.25
1654797600,86.55
1654801200,88.9
1654804800,89.2
1654808400,88.55
1654812000,88.9
1654815600,88
1654819200,87.6
1654822800,88.95
1654826400,88.8
1654830000,88.75
1654833600,83.2
1654837200,75.1
1654840800,69.9
1654844400,66.85
1654848000,66.9
1654851600,64.6
1654855200,62.7
1654858800,62.65
1654862400,60.7
1654866000,52
1654869600,46.65
1654873200,45.2
1654876800,45.85
1654880400,45.7
1654884000,54.6
1654887600,71.55
1654891200,71.5
1654894800,73.75
1654898400,75.1
1654902000,76.65
1654905600,78.75
1654909200,79.8
1654912800,81.25
1654916400,82.45
1654920000,80.4
1654923600,73.3
1654927200,67.1
1654930800,58.65
1654934400,54.75
1654938000,53.55
1654941600,52.8
1654945200,50.3
