timestamp,air_temperature
1654034400,16.7
1654038000,16.44
1654041600,15.745
1654045200,15.86
1654048800,15.705
1654052400,15.33
1654056000,14.88
1654059600,19.62
1654063200,23.11
1654066800,24.32
1654070400,25.3
1654074000,25.5
1654077600,26.73
1654081200,27.865
1654084800,28.605
1654088400,28.19
1654092000,27.355
1654095600,27.88
1654099200,26.63
1654102800,26.21
1654106400,24.05
1654110000,20.52
1654113600,18.615
1654117200,18.59
1654120800,18.625
1654124400,17.355
1654128000,17.855
1654131600,18.79
1654135200,18.475
1654138800,18.12
1654142400,18.085
1654146000,20.92
1654149600,24.195
1654153200,26.12
1654156800,26.955
1654160400,27.085
1654164000,28.535
1654167600,29.655
1654171200,30.825
1654174800,31.175
1654178400,31.06
1654182000,29.365
1654185600,28.915
1654189200,28
1654192800,25.625
1654196400,20.94
1654200000,20.09
1654203600,19.735
1654207200,19.475
1654210800,19.445
1654214400,19.26
1654218000,18.925
1654221600,18.855
1654225200,17.7
1654228800,17.945
1654232400,19.885
1654236000,22.545
1654239600,23.41
1654243200,25.365
1654246800,26.005
1654250400,26.4
1654254000,26.195
1654257600,25.275
1654261200,25.475
1654264800,25.82
1654268400,25.185
1654272000,24.46
1654275600,25.11
1654279200,22.55
1654282800,20.12
1654286400,19.515
1654290000,18.795
1654293600,19.04
1654297200,18.925
1654300800,19.035
1654304400,18.705
1654308000,18.54
1654311600,18.295
1654315200,18.56
1654318800,20.125
1654322400,23.295
1654326000,24.29
1654329600,24.855
1654333200,26.53
1654336800,27.785
1654340400,28.565
1654344000,29.805
1654347600,30.93
1654351200,31.48
1654354800,30.05
1654358400,29.205
1654362000,27.675
1654365600,26.235
1654369200,22.5
1654372800,21.41
1654376400,21.535
1654380000,20.625
1654383600,20.515
1654387200,19.84
1654390800,19.325
1654394400,19.285
1654398000,19.32
1654401600,20.175
1654405200,22.42
1654408800,23.215
1654412400,25.815
1654416000,27.75
1654419600,28.265
1654423200,29.405
1654426800,30.69
1654430400,29.585
1654434000,28.005
1654437600,31.625
1654441200,33.355
1654444800,30.675
1654448400,31.9
1654452000,28.96
1654455600,26.48
1654459200,25.4
1654462800,23.415
1654466400,23.545
1654470000,20.06
1654473600,19.545
1654477200,21.45
1654480800,19.59
1654484400,19.555
1654488000,20.4
1654491600,23.415
1654495200,26.08
1654498800,27.96
1654502400,28.625
1654506000,29.095
1654509600,29.555
1654513200,29.585
1654516800,30.69
1654520400,30.47
1654524000,29.665
1654527600,28.535
1654531200,27.955
1654534800,27.245
1654538400,25.365
1654542000,20.975
1654545600,19.255
1654549200,18.745
1654552800,18.045
1654556400,17.04
1654560000,17.005
1654563600,16.785
1654567200,15.58
1654570800,14.61
1654574400,16.555
1654578000,23.05
1654581600,24.265
1654585200,26.135
1654588800,26.68
1654592400,27.855
1654596000,27.725
1654599600,28.2
1654603200,28.94
1654606800,30.185
1654610400,28.79
1654614000,25.985
1654617600,18.465
1654621200,20.255
1654624800,19.79
1654628400,18.17
1654632000,16.805
1654635600,16.3
1654639200,15.895
1654642800,15.18
1654646400,15.225
1654650000,15.1
1654653600,14.71
1654657200,14.835
1654660800,15.995
1654664400,18.975
1654668000,22.935
1654671600,24.345
1654675200,25.64
1654678800,25.645
1654682400,26.405
1654686000,27.4
1654689600,27.7
1654693200,26.97
1654696800,26.11
1654700400,25.1
1654704000,24.555
1654707600,23.89
1654711200,21.965
1654714800,20.55
1654718400,19.69
1654722000,19.575
1654725600,20.09
1654729200,20.975
1654732800,19.75
1654736400,18.08
1654740000,17.29
1654743600,16.835
1654747200,16.765
1654750800,18.055
1654754400,19.19
1654758000,20.43
1654761600,20.84
1654765200,21.23
1654768800,22.335
1654772400,24.055
1654776000,23.415
1654779600,20.4
1654783200,19.515
