timestamp,irrigation
1654034400,0
1654038000,0
1654041600,0
1654045200,0
1654048800,0
1654052400,0
1654056000,0
1654059600,0
1654063200,0
1654066800,0.006
1654070400,0
1654074000,0
1654077600,0
1654081200,0
1654084800,0
1654088400,0
1654092000,0
1654095600,0
1654099200,0
1654102800,0
1654106400,0
1654110000,0
1654113600,0
1654117200,0
1654120800,0
1654124400,0
1654128000,0
1654131600,0
1654135200,0
1654138800,0
1654142400,0
1654146000,2.994
1654149600,2.622
1654153200,1.494
1654156800,0
1654160400,0.007
1654164000,0
1654167600,0
1654171200,0
1654174800,0
1654178400,0
1654182000,0
1654185600,0
1654189200,0
1654192800,0
1654196400,0
1654200000,0
1654203600,0
1654207200,0
1654210800,0
1654214400,0
1654218000,0
1654221600,0
1654225200,0
1654228800,0
1654232400,0
1654236000,0
1654239600,0
1654243200,0
1654246800,0
1654250400,0
1654254000,0
1654257600,0
1654261200,0
1654264800,0
1654268400,0
1654272000,0
1654275600,0
1654279200,0
1654282800,0
1654286400,0
1654290000,0
1654293600,0
1654297200,0
1654300800,0
1654304400,0
1654308000,0
1654311600,0
1654315200,0
1654318800,0
1654322400,0.007
1654326000,0
1654329600,0
1654333200,0
1654336800,0
1654340400,0
1654344000,0
1654347600,4.284
1654351200,4.844
1654354800,3.983
1654358400,1.351
1654362000,0
1654365600,0
1654369200,0
1654372800,0
1654376400,0
1654380000,0
1654383600,0
1654387200,0
1654390800,0
1654394400,0
1654398000,0
1654401600,0
1654405200,0
1654408800,2.31
1654412400,2.387
1654416000,1.61
1654419600,0
1654423200,0.007
1654426800,0
1654430400,0
1654434000,0.42
1654437600,0
1654441200,0
1654444800,0
1654448400,0
1654452000,0
1654455600,0
1654459200,0
1654462800,0
1654466400,0
1654470000,0
1654473600,0
1654477200,0
1654480800,0
1654484400,0
1654488000,0
1654491600,0
1654495200,0
1654498800,0
1654502400,0
1654506000,0
1654509600,0
1654513200,0
1654516800,0
1654520400,0
1654524000,0
1654527600,0
1654531200,0
1654534800,0
1654538400,0
1654542000,0
1654545600,0
1654549200,0
1654552800,0
1654556400,0
1654560000,0
1654563600,0
1654567200,0
1654570800,0
1654574400,0
1654578000,0
1654581600,0
1654585200,0
1654588800,0
1654592400,0
1654596000,0
1654599600,0
1654603200,0
1654606800,0
1654610400,0
1654614000,0
1654617600,0
1654621200,0
1654624800,0
1654628400,0
1654632000,0
1654635600,0
1654639200,0
1654642800,0
1654646400,0
1654650000,0
1654653600,0
1654657200,0
1654660800,0
1654664400,0
1654668000,0
1654671600,0
1654675200,0
1654678800,0
1654682400,0
1654686000,0
1654689600,0
1654693200,0
1654696800,0
1654700400,0
1654704000,0
1654707600,0
1654711200,0
1654714800,0
1654718400,0
1654722000,0
1654725600,0
1654729200,0
1654732800,0
1654736400,0
1654740000,0
1654743600,0
1654747200,0
1654750800,0
1654754400,0
1654758000,0
1654761600,0
1654765200,0
1654768800,0
1654772400,0
1654776000,0
1654779600,0
1654783200,0
1654786800,0
1654790400,0
1654794000,0
1654797600,0
1654801200,0
1654804800,0
1654808400,0
1654812000,0
1654815600,0
1654819200,0
1654822800,0
1654826400,0
1654830000,0
1654833600,0
1654837200,0
1654840800,0
1654844400,0
1654848000,0
1654851600,0
1654855200,0
1654858800,0
1654862400,1.449
1654866000,4.27
1654869600,4.816
1654873200,0.609
1654876800,0
1654880400,0
1654884000,0
1654887600,0
1654891200,0.007
1654894800,0
1654898400,0
1654902000,0
1654905600,0
1654909200,0
1654912800,0
1654916400,0
1654920000,0
1654923600,0.063
1654927200,1.764
1654930800,1.722
1654934400,0
1654938000,0.007
1654941600,0
1654945200,0
1654948800,0
1654952400,0
1654956000,0
1654959600,0
1654963200,0
1654966800,0
1654970400,0
1654974000,0
1654977600,0
1654981200,0
1654984800,0
1654988400,0
1654992000,0
1654995600,0
1654999200,0
1655002800,0
1655006400,0
1655010000,0
1655013600,0
1655017200,0
1655020800,0
1655024400,0
1655028000,0
1655031600,0
1655035200,0
1655038800,0
1655042400,0
1655046000,0
1655049600,0
1655053200,0
1655056800,0
1655060400,0
1655064000,0
1655067600,0
1655071200,0
1655074800,0
1655078400,0
1655082000,0
1655085600,0
1655089200,0
1655092800,0
1655096400,0
1655100000,0
1655103600,0
1655107200,0
1655110800,0
1655114400,0
1655118000,0
1655121600,1.183
1655125200,0
1655128800,0
1655132400,0
1655136000,0
1655139600,0
1655143200,0
1655146800,0
1655150400,0
1655154000,0
1655157600,0
1655161200,0
1655164800,0
1655168400,0
1655172000,0
1655175600,0
1655179200,0
1655182800,0
1655186400,0
1655190000,0
1655193600,0
1655197200,2.114
1655200800,2.702
1655204400,0
1655208000,2.814
1655211600,1.309
1655215200,0
1655218800,0
1655222400,0
1655226000,0
1655229600,0
1655233200,0
1655236800,0
1655240400,0
1655244000,0
1655247600,0
1655251200,0
1655254800,0
1655258400,0
1655262000,0
1655265600,0
1655269200,0
1655272800,0
1655276400,0
1655280000,0
1655283600,0
1655287200,0
1655290800,0
1655294400,4.011
1655298000,1.421
1655301600,0
1655305200,0
1655308800,0
1655312400,0
1655316000,0
1655319600,0
1655323200,0
1655326800,0
1655330400,0
1655334000,0
1655337600,0
1655341200,0
1655344800,0
1655348400,0
1655352000,0
1655355600,0
1655359200,0
1655362800,0
1655366400,0
1655370000,0
1655373600,0
1655377200,0
1655380800,3.906
1655384400,1.4
1655388000,0.007
1655391600,0
1655395200,0
1655398800,0
1655402400,0
1655406000,0
1655409600,0
1655413200,0
1655416800,0
1655420400,0
1655424000,0
1655427600,0
1655431200,0
1655434800,0
1655438400,0
1655442000,0
1655445600,0
1655449200,0
1655452800,0
1655456400,0
1655460000,0
1655463600,0
1655467200,0
1655470800,0
1655474400,0
1655478000,0
1655481600,0
1655485200,0
1655488800,0
1655492400,0
1655496000,0
1655499600,0
1655503200,0
1655506800,0
1655510400,0
1655514000,0
1655517600,0
1655521200,0
1655524800,0
1655528400,0
1655532000,0
1655535600,0
1655539200,0
1655542800,2.316
1655546400,3.792
1655550000,4.068
1655553600,0
1655557200,0
1655560800,0
1655564400,0
1655568000,0
1655571600,0
1655575200,0
1655578800,0
1655582400,0
1655586000,0
1655589600,0
1655593200,0
1655596800,0
1655600400,0
1655604000,0
1655607600,0
1655611200,0
1655614800,0
1655618400,0
1655622000,0
1655625600,0
1655629200,0
1655632800,0
1655636400,1.969
1655640000,4.4385
1655643600,2.6455
1655647200,0
1655650800,0
1655654400,0
1655658000,0
1655661600,0
1655665200,0
1655668800,0
1655672400,0
1655676000,0
1655679600,0
1655683200,0
1655686800,0
1655690400,0
1655694000,0
1655697600,0
1655701200,0
1655704800,0
1655708400,0
1655712000,0
1655715600,0
1655719200,0
1655722800,0
1655726400,3.4155
1655730000,1.122
1655733600,0
1655737200,0
1655740800,0
1655744400,0
1655748000,0
1655751600,0
1655755200,0
1655758800,0
1655762400,0
1655766000,0
1655769600,0
1655773200,0
1655776800,0
1655780400,0
1655784000,0
1655787600,0
1655791200,0
1655794800,0
1655798400,0
1655802000,2.827
1655805600,4.587
1655809200,4.444
1655812800,2.6565
1655816400,0
1655820000,4.11
1655823600,4.374
1655827200,0
1655830800,0
1655834400,0
1655838000,0
1655841600,0
1655845200,0
1655848800,0
1655852400,0
1655856000,0
1655859600,0
1655863200,0
1655866800,0
1655870400,0
1655874000,0
1655877600,1.2705
1655881200,4.0
1655884800,0
1655888400,0
1655892000,0
1655895600,0
1655899200,2.3485
1655902800,3.0965
1655906400,1.0615
1655910000,0
1655913600,0
1655917200,0
1655920800,0
1655924400,0
1655928000,0
1655931600,0
1655935200,0
1655938800,0
1655942400,0
1655946000,0
1655949600,0
1655953200,0
1655956800,0
1655960400,0
1655964000,0
1655967600,0
1655971200,0
1655974800,0
1655978400,0
1655982000,0
1655985600,2.134
1655989200,2.343
1655992800,0.627
1655996400,0
1656000000,0
1656003600,0
1656007200,0
1656010800,0
1656014400,0
1656018000,0
1656021600,0
1656025200,0
1656028800,0
1656032400,0
1656036000,0
1656039600,0
1656043200,0
1656046800,0
1656050400,0
1656054000,0
1656057600,0
1656061200,0
1656064800,0
1656068400,0
1656072000,2.497
1656075600,3.344
1656079200,1.2155
1656082800,0
1656086400,0
1656090000,0
1656093600,0
1656097200,0
1656100800,0
1656104400,0
1656108000,0
1656111600,0
1656115200,0
1656118800,0
1656122400,0
1656126000,0
1656129600,0.0055
1656133200,4.0
1656136800,4.0
1656140400,0
1656144000,0
1656147600,0
1656151200,0
1656154800,0
1656158400,0
1656162000,0
1656165600,0
1656169200,0
1656172800,0
1656176400,0
1656180000,0
1656183600,0
1656187200,0
1656190800,0
1656194400,0
1656198000,0
1656201600,0
1656205200,0
1656208800,0
1656212400,0
1656216000,0
1656219600,0
1656223200,0
1656226800,0
1656230400,0
1656234000,0
1656237600,0
1656241200,0
1656244800,3.5915
1656248400,4.543
1656252000,1.144
1656255600,0
1656259200,0
1656262800,0
1656266400,0
1656270000,0
1656273600,0
1656277200,0
1656280800,0
1656284400,0
1656288000,0
1656291600,0
1656295200,0
1656298800,0
1656302400,0
1656306000,0
1656309600,0
1656313200,0
1656316800,0
1656320400,0
1656324000,0
1656327600,1.24
1656331200,3.9
1656334800,4.095
1656338400,1.035
1656342000,0
1656345600,0
1656349200,0
1656352800,0
1656356400,0
1656360000,0
1656363600,0
1656367200,0
1656370800,0
1656374400,0
1656378000,0
1656381600,0
1656385200,0
1656388800,0
1656392400,0
1656396000,0
1656399600,0
1656403200,0
1656406800,1.99
1656410400,2.325
1656414000,1.91
1656417600,0
1656421200,0
1656424800,0
1656428400,0
1656432000,0
1656435600,0
1656439200,0
1656442800,0
1656446400,0
1656450000,0
1656453600,0
1656457200,0
1656460800,0
1656464400,0
1656468000,0
1656471600,0
1656475200,0
1656478800,0
1656482400,0
1656486000,0
1656489600,0
1656493200,0
1656496800,1.275
1656500400,1.94
1656504000,2.6
1656507600,0
1656511200,0
1656514800,0
1656518400,0
1656522000,0
1656525600,0
1656529200,0
1656532800,0
1656536400,0
1656540000,0
1656543600,0
1656547200,0.005
1656550800,0
1656554400,0
1656558000,0
1656561600,0
1656565200,0
1656568800,0
1656572400,0
1656576000,0
1656579600,0
1656583200,1.89
1656586800,3.82
1656590400,4.02
1656594000,0.135
1656597600,0
1656601200,0
1656604800,0
1656608400,0
1656612000,0
1656615600,0
1656619200,0
1656622800,0
1656626400,0
1656630000,0
1656633600,0
1656637200,0
1656640800,0
1656644400,0
1656648000,0
1656651600,0
1656655200,0
1656658800,0
1656662400,0
1656666000,0
1656669600,2.02
1656673200,3.93
1656676800,2.07
1656680400,0
1656684000,0
1656687600,0
1656691200,0
1656694800,0
1656698400,0
1656702000,0
1656705600,0
1656709200,0
1656712800,0
1656716400,0
1656720000,0
1656723600,0
1656727200,0
1656730800,0
1656734400,0
1656738000,0
1656741600,0
1656745200,0
1656748800,0
1656752400,0
1656756000,1.075
1656759600,4.11
1656763200,4.085
1656766800,1.64
1656770400,0
1656774000,0
1656777600,0
1656781200,0
1656784800,0
