x,y,z,value
0.00,0.0,0.6,-88.6
0.25,0.0,0.6,-70.0
0.50,0.0,0.6,-61.6
0.80,0.0,0.6,-20.2
0.00,0.0,0.4,-21.9
0.25,0.0,0.4,-24.9
0.50,0.0,0.4,-296.5
0.80,0.0,0.4,-258.4
0.00,0.0,0.2,-23.1
0.25,0.0,0.2,-21.6
0.50,0.0,0.2,-162.8
0.80,0.0,0.2,-453.8
