x,y,z,value
0.00,0.0,0.2,-30.8
0.25,0.0,0.2,-24.0
0.50,0.0,0.2,-700.3
0.80,0.0,0.2,-740.3
0.00,0.0,0.4,-21.9
0.25,0.0,0.4,-9999.0
0.50,0.0,0.4,-198.1
0.80,0.0,0.4,-438.5
0.00,0.0,0.6,-23.4
0.25,0.0,0.6,-77.3
0.50,0.0,0.6,-688.6
0.80,0.0,0.6,-452.3
