timestamp,irrigation
1655463600,0
1655467200,0
1655470800,0
1655474400,0
1655478000,0
1655481600,0
1655485200,0
1655488800,0
1655492400,0
1655496000,0
1655499600,0
1655503200,0
1655506800,0
1655510400,0
1655514000,0
1655517600,0
1655521200,0
1655524800,0
1655528400,0
1655532000,0
1655535600,0
1655539200,0
1655542800,4.83
1655546400,3.726
1655550000,1.62
1655553600,0
1655557200,0
1655560800,0
1655564400,0
1655568000,0
1655571600,0
1655575200,0
1655578800,0
1655582400,0
1655586000,0
1655589600,0
1655593200,0
1655596800,0
1655600400,0
1655604000,0
1655607600,0
1655611200,0
1655614800,0
1655618400,0
1655622000,0
1655625600,0
1655629200,0
1655632800,0.8965
1655636400,3.3385
1655640000,4.3395
1655643600,0.4785
1655647200,0
1655650800,0
1655654400,0
1655658000,0
1655661600,0
1655665200,0
1655668800,0
1655672400,0
1655676000,0
1655679600,0
1655683200,0
1655686800,0
1655690400,0
1655694000,0
1655697600,0
1655701200,0
1655704800,0
1655708400,0
1655712000,0
1655715600,0
1655719200,0
1655722800,1.166
1655726400,3.3715
1655730000,0
1655733600,0
1655737200,0
1655740800,0
1655744400,0
1655748000,0
1655751600,0
1655755200,0
1655758800,0
1655762400,0
1655766000,0
1655769600,0
1655773200,0
1655776800,0
1655780400,0
1655784000,0
1655787600,0
1655791200,0
1655794800,0
1655798400,0.506
1655802000,4.609
1655805600,4.5155
1655809200,4.5265
1655812800,0.3575
1655816400,0
1655820000,0.4785
1655823600,0.0055
1655827200,0
1655830800,0
1655834400,0
1655838000,0
1655841600,0
1655845200,0
1655848800,0
1655852400,0
1655856000,0
1655859600,0
