x,y,z,value
0.00,0.0,0.2,-33.2
0.25,0.0,0.2,-23.7
0.50,0.0,0.2,-590.3
0.80,0.0,0.2,-769.6
0.00,0.0,0.4,-22.8
0.25,0.0,0.4,-22.8
0.50,0.0,0.4,-188.4
0.80,0.0,0.4,-462.8
0.00,0.0,0.6,-23.1
0.25,0.0,0.6,-37.1
0.50,0.0,0.6,-681.3
0.80,0.0,0.6,-476.9
